A1_edgedensity,FUS_edgedensity,EWSR1_edgedensity,TIA1_edgedensity,fh_0.02_edgedensity,fh_0.14_edgedensity,fh_0.22_edgedensity
0.070241171,0.07670112,0.07622739,0.075107666,0.096258065,0.11406451612903226,0.12683870967741936
0.076658053,0.083807063,0.092248062,0.080060293,0.11329032258064516,0.13651612903225807,0.15561290322580645
0.078639104,0.085400517,0.09625323,0.074461671,0.11251612903225806,0.13987096774193547,0.1655483870967742
0.07704565,0.085960379,0.098148148,0.077347115,0.11587096774193549,0.1441290322580645,0.16993548387096774
0.080146425,0.089405685,0.097329888,0.078552972,0.10580645161290322,0.14025806451612904,0.16219354838709676
0.079414298,0.08910422,0.096813092,0.078940568,0.10903225806451614,0.14283870967741935,0.168
0.078122308,0.086520241,0.09754522,0.078983635,0.10929032258064517,0.14670967741935484,0.16916129032258065
0.076485788,0.089534884,0.095865633,0.078466839,0.1064516129032258,0.15251612903225806,0.1686451612903226
0.080017227,0.087596899,0.096942291,0.080620155,0.11406451612903226,0.14696774193548387,0.16993548387096774
0.077734711,0.090310078,0.10073212747631352,0.079888028,0.11290322580645161,0.144,0.16516129032258065
0.080232558,0.085400517,0.098191214,0.08079242,0.11651612903225807,0.15303225806451612,0.17096774193548386
0.079931094,0.087984496,0.098320413,0.080706288,0.11316129032258064,0.15483870967741936,0.1704516129032258
0.077174849,0.086563307,0.097372954,0.078466839,0.11264516129032258,0.14851612903225805,0.17083870967741935
0.080146425,0.085917313,0.10219638242894057,0.080275624,0.11225806451612903,0.15341935483870967,0.16632258064516128
0.077993109,0.086347976,0.10198105081826012,0.081438415,0.10748387096774194,0.14606451612903226,0.17870967741935484
0.079371232,0.086132644,0.09918174,0.076744186,0.12167741935483871,0.1521290322580645,0.17380645161290323
0.081696813,0.088845823,0.10055986218776916,0.078251507,0.11316129032258064,0.14903225806451612,0.16916129032258065
0.0791559,0.08664944,0.09754522,0.078509905,0.10658064516129032,0.14361290322580644,0.17470967741935484
0.080921619,0.085142119,0.09836348,0.079285099,0.10980645161290323,0.14193548387096774,0.17483870967741935
0.077562446,0.086477175,0.096899225,0.080318691,0.10877419354838709,0.148,0.16361290322580646
0.081309216,0.084237726,0.099827735,0.080534022,0.11535483870967742,0.15135483870967742,0.17470967741935484
0.079715762,0.08255814,0.10047372954349698,0.079457364,0.1152258064516129,0.14606451612903226,0.1687741935483871
0.078165375,0.083505599,0.1024978466838932,0.076873385,0.1127741935483871,0.14864516129032257,0.16619354838709677
0.07622739,0.085443583,0.10034453057708871,0.077950043,0.11225806451612903,0.148,0.16696774193548386
0.077820844,0.08583118,0.10090439276485788,0.076442722,0.11006451612903226,0.1464516129032258,0.16929032258064516
0.077304048,0.085572782,0.098535745,0.07962963,0.11161290322580646,0.14503225806451614,0.1766451612903226
0.078122308,0.08630491,0.097286822,0.078854436,0.10361290322580645,0.1416774193548387,0.16903225806451613
0.078251507,0.083979328,0.097717485,0.078940568,0.10606451612903225,0.15174193548387097,0.17251612903225808
0.081309216,0.086520241,0.099440138,0.078122308,0.10180645161290322,0.15161290322580645,0.1673548387096774
0.080318691,0.083591731,0.099655469,0.078380706,0.1064516129032258,0.15393548387096775,0.16812903225806453
0.077777778,0.083548665,0.1000430663221361,0.07588286,0.11148387096774194,0.14903225806451612,0.16903225806451613
0.07881137,0.090137812,0.099310939,0.077777778,0.11148387096774194,0.15019354838709678,0.16619354838709677
0.080749354,0.088027562,0.1012489233419466,0.07786391,0.10929032258064517,0.1447741935483871,0.16851612903225807
0.078854436,0.087252369,0.097416021,0.077648579,0.1112258064516129,0.1481290322580645,0.17935483870967742
0.079844961,0.087209302,0.09754522,0.075064599,0.11432258064516129,0.1441290322580645,0.17470967741935484
0.077777778,0.087080103,0.097114556,0.078725237,0.10361290322580645,0.14748387096774193,0.17329032258064517
0.080534022,0.084711456,0.10034453057708871,0.078552972,0.10903225806451614,0.14490322580645162,0.17470967741935484
0.080706288,0.083204134,0.097329888,0.07962963,0.11083870967741935,0.14735483870967742,0.17419354838709677
0.081696813,0.088372093,0.098234281,0.080232558,0.1064516129032258,0.15406451612903227,0.16980645161290323
0.081136951,0.088329027,0.09672696,0.078639104,0.10735483870967742,0.15148387096774193,0.1686451612903226
0.08126615,0.086993971,0.099913867,0.07997416,0.11729032258064516,0.14735483870967742,0.16516129032258065
0.080577089,0.0874677,0.098621878,0.079888028,0.1207741935483871,0.14503225806451614,0.172
0.08079242,0.086778639,0.099440138,0.076356589,0.10696774193548388,0.14877419354838708,0.16593548387096774
0.077777778,0.086132644,0.098062016,0.076658053,0.11212903225806452,0.14709677419354839,0.16748387096774195
0.079112834,0.084582257,0.10060292850990525,0.077734711,0.11212903225806452,0.144,0.17251612903225808
0.079198966,0.089147287,0.097286822,0.081007752,0.11509677419354838,0.14567741935483872,0.1704516129032258
0.081998277,0.087295435,0.099612403,0.079112834,0.11406451612903226,0.14735483870967742,0.16580645161290322
0.078423773,0.087080103,0.098880276,0.077304048,0.11380645161290323,0.14038709677419356,0.16593548387096774
0.079801895,0.087639966,0.097674419,0.08044789,0.10851612903225806,0.15393548387096775,0.17858064516129032
0.076830319,0.08712317,0.099138674,0.078251507,0.10967741935483871,0.1510967741935484,0.172
