Variant,Temperature [K],Surface Tension [mN/m],Standard Error [mN/m]
A1,0.9Tc,0.2088829347373949,0.03191419926426841
EWSR1,0.9Tc,0.3121715942066626,0.03417653669588953
FUS,0.9Tc,0.18683172678647347,0.029314583827762232
TIA1,0.9Tc,0.16002738473417963,0.052161611258325906
