0 5.579584745750529 -0.24605415209981996 938 938
20 5.81598685650719 -0.2609137533524679 853 848
40 6.255610208843007 -0.3296094285322735 787 783
60 6.408042444067917 -0.29709583236441617 833 831
80 6.41836933616685 -0.25489189272789137 758 746
100 5.926164490043257 -0.33789697456770296 815 811
120 6.334882066820825 -0.35684454211076777 732 728
140 5.9944636064948025 -0.2698145708785086 870 858
160 6.081337423302587 -0.27901392190152796 816 808
180 6.214962052374736 -0.30738987206006274 759 750
200 6.157681369070785 -0.4056771970132107 729 724
220 6.252197913731151 -0.27131852700178616 886 879
240 6.331102651876719 -0.31049847776982753 780 774
260 5.808243514914094 -0.45221090935822983 737 735
280 5.572476883451357 -0.28442087193820287 687 611
300 3.7687007753987602 -0.31090008257638324 632 314
320 4.318607440474175 -0.3355091468350332 621 462
340 4.728531691463767 -0.30143123034465047 563 463
360 4.666732225340907 -0.319408605899993 625 469
380 3.768206752338724 -0.27326583470685184 657 412
400 3.6942962853524284 -0.34172387490465295 569 320
420 3.576746281449079 -0.2386510087323095 630 382
440 4.5966844116903385 -0.30274048188339153 522 335
460 3.7311637149739627 -0.2942221325124893 746 389
480 3.8079251256158932 -0.30229048060373365 545 303
500 4.389534523153827 -0.2311492909063183 666 423
520 5.295600120247697 -0.23414803806873885 727 547
540 4.871427764289629 -0.30118618750549153 653 496
560 4.380277003085728 -0.2915994505300975 772 484
580 3.9226203046388 -0.2375387744724129 676 413
600 3.1046925655871482 -0.2836842785169875 598 336
620 4.728146828616768 -0.270961935120945 711 426
640 4.768034313519073 -0.2718629361373579 602 414
660 3.8788384610716524 -0.2063455749548464 680 397
680 3.931564600165547 -0.19209803507289258 693 415
700 4.204429522123617 -0.27976257772752966 645 395
720 3.5833490675882316 -0.17646515920627592 719 471
740 3.8522221600207165 -0.22530978117585032 726 403
760 3.853091430198636 -0.30771348138880217 591 293
780 4.737348189652731 -0.32603002471321607 613 415
800 5.459745526207338 -0.30310188049823783 611 514
820 4.794960228257825 -0.3273882612966601 585 466
840 4.434058447869976 -0.4149922348360565 591 516
860 3.676617198359707 -0.24325630569400392 595 370
880 5.282710812569888 -0.3496416234887737 624 510
900 5.556486227682182 -0.38265243065092003 652 606
920 5.473142635563586 -0.36702686185727396 672 662
940 6.009354923892567 -0.316769540190027 717 675
960 5.4342106733589235 -0.35456740034486256 601 504
980 5.347162484731373 -0.26014596265226075 774 624
