A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_norm_disp,A1_log10_norm_disp_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_norm_disp,FUS_log10_norm_disp_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_norm_disp,EWSR1_log10_norm_disp_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_norm_disp,TIA1_log10_norm_disp_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_norm_disp,fh_0.02_log10_norm_disp_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_norm_disp,fh_0.14_log10_norm_disp_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_norm_disp,fh_0.22_log10_norm_disp_err
-2.067316411,0.000546542,-1.486679671,0.00990172,-2.095184963,0.000458517,-1.580273674,0.011158016340702424,-2.140188976,0.00046507,-1.871809635,0.010251354756598045,-2.082652075,0.000461621,-1.343464533,0.010052046941817378,-1.890398331,0.000558967,-1.853045699,0.015049226829117144,-2.027371465,0.000595378,-1.954458143,0.011378005,-2.090800183,0.000540033,-1.988006608,0.011358878203094318
-2.042634724,0.000431758,-1.498178839,0.010607245779868003,-2.071851637,0.000452682,-1.600479791,0.010551803162527146,-2.115645912,0.000452084,-1.877205462,0.010520847,-2.057647297,0.000460023,-1.345723554,0.010463354615283338,-1.869413992,0.000534265,-1.885473401,0.013694272,-2.005565901,0.000535877,-1.935314209,0.010972413743091032,-2.068916095,0.000583268,-2.00570405,0.012499809240216785
-2.018853276,0.000501419,-1.507278619,0.010506013193525997,-2.048755397,0.000449771,-1.596965748,0.010877747458805391,-2.093964664,0.000429016,-1.891466402,0.010170796,-2.035158335,0.000405183,-1.334925192,0.009655574,-1.845858283,0.000672624,-1.822184663,0.018753792476507967,-1.983896717,0.000617799,-1.942913354,0.013104155,-2.046497075,0.000558457,-1.98057065,0.013192059000878406
-1.993003093,0.000504822,-1.486649093,0.010231927851263476,-2.02556497,0.000498567,-1.613962815,0.009775643,-2.069016321,0.000504076,-1.87496624,0.010742270703052875,-2.012422684,0.000529036,-1.359070164,0.010364936,-1.822859566,0.000547456,-1.888563707,0.012333167571626205,-1.962485609,0.000492929,-1.951849199,0.012995425536658091,-2.026496143,0.000516521,-1.971874732,0.012568564
-1.969678284,0.000500137,-1.509850346,0.009606005,-2.00064357,0.000463402,-1.616647303,0.010021831074356294,-2.044029216,0.000503431,-1.892263034,0.011001795735181492,-1.986579288,0.000500675,-1.36409925,0.010170809499992146,-1.801267396,0.000496215,-1.876602919,0.012711326674041054,-1.940391496,0.000710493,-1.951489675,0.013070599274926124,-2.006481793,0.000565544,-2.009177335,0.012068007394268557
-1.946520276,0.000461298,-1.522591959,0.009935778,-1.975076269,0.000569399,-1.613615743,0.009880738,-2.01885115,0.000517517,-1.898429077,0.008991495,-1.962722459,0.000446266,-1.383825176,0.009352853,-1.778310866,0.00060663,-1.846525179,0.015151243256792122,-1.915044459,0.000576701,-1.969984133,0.013570817706372808,-1.98614216,0.000543599,-2.00289082,0.013560585921339014
-1.92237761,0.000511721,-1.524219913,0.009015554,-1.947576928,0.000543785,-1.619109077,0.010632649141756711,-1.993207534,0.000523541,-1.899848097,0.011000216865708987,-1.937321808,0.000478542,-1.356845997,0.010190966672058216,-1.75405991,0.00069485,-1.888773669,0.013752354699731633,-1.890746132,0.000686888,-1.975685079,0.011762675693632292,-1.962792537,0.000670489,-1.989616874,0.012591367577661836
-1.893556223,0.000589389,-1.523306403,0.010054287,-1.919909292,0.00054258,-1.602253768,0.009978472,-1.966134463,0.000457684,-1.897380544,0.010167016707010968,-1.91337201,0.00050764,-1.36465359,0.009923601,-1.724819657,0.000767549,-1.876022845,0.013494526452906093,-1.868149416,0.000580913,-1.957206317,0.012643720270219134,-1.937244371,0.00062084,-2.007492694,0.013228720660986827
-1.86336457,0.000547797,-1.517100865,0.010082825595340038,-1.893286874,0.000500082,-1.620364493,0.010491081,-1.94042648,0.00046702,-1.8998411,0.009974953,-1.885496887,0.000479281,-1.354043812,0.010736975787208674,-1.699308386,0.000619353,-1.886746809,0.012985848506846514,-1.841939443,0.00067854,-1.97731326,0.012657855503200807,-1.910677172,0.000663347,-2.01005584,0.012669826318113168
-1.835931661,0.000543128,-1.527895968,0.010335168964868132,-1.865108477,0.000586305,-1.621970449,0.009272087,-1.914937753,0.000599187,-1.909411746,0.010178574548913473,-1.858403967,0.000510065,-1.368272031,0.011075345532694408,-1.674980342,0.000714767,-1.872195991,0.013876029126663554,-1.81388415,0.00079127,-1.982330585,0.013126823009707288,-1.886413608,0.000643007,-2.019904754,0.012413878556379047
-1.805808696,0.000576815,-1.531479838,0.010606011752616232,-1.835332891,0.00059411,-1.641117567,0.010826102,-1.886822426,0.000523193,-1.914717067,0.010809604677496693,-1.830857588,0.000574284,-1.391482668,0.011059765574137808,-1.646676552,0.000715606,-1.751532704,0.022109450526172983,-1.784908983,0.000638511,-1.975952963,0.012568211272176704,-1.863617194,0.000640645,-2.003578495,0.011458449121283217
-1.775691696,0.000635981,-1.535762721,0.010469737,-1.806114612,0.000592896,-1.645607887,0.010702216,-1.852261355,0.000753229,-1.922178734,0.009166526,-1.801968021,0.000580379,-1.390612559,0.009357828,-1.61553631,0.00088692,-1.873651336,0.013717378979950392,-1.760068333,0.000662607,-1.971136136,0.013108625730521328,-1.837052378,0.000646336,-2.02280823,0.013385283
-1.742060724,0.000697376,-1.539539509,0.010330165,-1.773069543,0.000759842,-1.644113049,0.010070334567154707,-1.815159313,0.000675991,-1.907949634,0.010524015069074607,-1.769070109,0.000639857,-1.407728383,0.009579163,-1.580998043,0.000929821,-1.882571612,0.015592033924385712,-1.732255451,0.000828293,-1.971379007,0.011060610284677598,-1.813079977,0.000594826,-2.007460246,0.013027230027548865
-1.701542159,0.000858855,-1.550913632,0.00956586,-1.73645419,0.000683151,-1.658002787,0.010446769017253473,-1.781667163,0.000749627,-1.942837785,0.010269595373646918,-1.73407155,0.000779983,-1.385709441,0.009387166,-1.543394006,0.000918028,-1.903867134,0.013679527824114768,-1.700839308,0.000832048,-1.975889297,0.013305826114756787,-1.788831108,0.000759041,-2.057417246,0.011931954486171528
-1.660623107,0.000821751,-1.569650451,0.010638001,-1.695513834,0.000976018,-1.673375522,0.009339018,-1.73645225,0.000927816,-1.93435874,0.010285069,-1.694680798,0.000814581,-1.395402293,0.009306888,-1.505589719,0.001008922,-1.870999223,0.015508554964749566,-1.667932874,0.000818988,-1.992425589,0.011967115273120724,-1.758662527,0.000839517,-2.040816323,0.011717366496010394
-1.612754797,0.001114893,-1.548759365,0.009805805,-1.647129875,0.001121598,-1.658847693,0.009735129,-1.684579504,0.001052705,-1.943033049,0.009786108,-1.653207484,0.000921608,-1.408683695,0.009727273,-1.459131239,0.001327387,-1.846136741,0.017669809089924306,-1.635084328,0.000876836,-1.97245791,0.01152911,-1.726972664,0.000870396,-2.037283746,0.013720306602606057
-1.536911054,0.001927487,-1.552533902,0.008690031,-1.582828307,0.001449036,-1.651386009,0.009437286,-1.620645957,0.001669697,-1.96596601,0.009367525,-1.603414838,0.00111843,-1.410660871,0.00984428,-1.396336353,0.001982333,-1.900512492,0.013955430591351748,-1.596011182,0.001159706,-2.010630343,0.014198861223837296,-1.691532841,0.00101518,-2.02597603,0.011982780936447439
-1.398960819,0.005022371,-1.576928098,0.009502537,-1.452650114,0.004396922,-1.662149345,0.009200748,-1.479056137,0.004875872,-1.964874421,0.010125510185428609,-1.538438345,0.001593784,-1.414642171,0.009011279,-1.271635436,0.006200767,-1.880088742,0.014997925888336884,-1.550897964,0.00126917,-1.981578724,0.011344265437905189,-1.649947139,0.001106419,-2.010428096,0.011918770190848103
