A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-rg-angstrom,A1-LCD-rg-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-rg-angstrom,FUS-LCD-rg-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-rg-angstrom,EWSR1-LCD-rg-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-rg-angstrom,TIA1-LCD-rg-error-angstrom
0.001060646,8.05E-06,29.11387373,0.389064742,0.001196519,8.83E-06,32.9293053,0.489525208,0.001183102,6.72E-06,41.81248892,0.638831345,0.001111996,7.62E-06,26.50096302,0.373850031
0.001522028,9.87E-06,28.9064758,0.407580384,0.001667392,9.64E-06,32.01709472,0.468488647,0.001521845,7.51E-06,41.5303528,0.608569644,0.001535989,9.31E-06,26.4489687,0.40533828
0.002038801,1.04E-05,29.16644544,0.447599511,0.002189345,1.08E-05,32.73408551,0.479228226,0.001898614,6.67E-06,43.68797416,0.645723584,0.002032903,9.66E-06,26.20794121,0.37215924
0.002672589,1.43E-05,28.95294819,0.386539981,0.002720012,9.80E-06,33.24230601,0.524481186,0.002271543,7.74E-06,42.65058049,0.603464283,0.002505873,8.80E-06,26.6431949,0.368323348
0.003374532,1.34E-05,29.37302788,0.431051751,0.003256082,1.08E-05,32.95710097,0.474460186,0.002692562,8.25E-06,42.15679764,0.589178204,0.002978281,1.02E-05,26.14542446,0.381987695
0.004061854,1.34E-05,28.40055193,0.392329179,0.003886394,1.42E-05,33.49606685,0.50552674,0.00311279,8.13E-06,43.31847688,0.658025037,0.003613097,1.32E-05,26.72144393,0.402678728
0.004817632,1.45E-05,30.14046987,0.46692278,0.004529841,1.16E-05,33.72340491,0.517491175,0.003489874,7.30E-06,41.96982738,0.616285925,0.004236295,1.14E-05,26.70304682,0.381558047
0.005552592,1.60E-05,29.96960902,0.459261643,0.005195044,1.36E-05,33.95462718,0.510336413,0.003869683,7.46E-06,42.82803909,0.6314774,0.004812113,1.27E-05,26.03322247,0.376947916
0.006309877,1.46E-05,30.37038209,0.479265134,0.005885906,1.33E-05,33.22910698,0.48070102,0.004298303,8.38E-06,41.99277902,0.591982994,0.005501687,1.34E-05,27.22849198,0.378578625
0.007075736,1.54E-05,29.0838784,0.382076519,0.006597629,1.49E-05,34.17443425,0.517422222,0.004724104,8.29E-06,44.98127642,0.668825326,0.006297537,1.77E-05,26.8509265,0.380238946
0.007756912,1.09E-05,29.60902544,0.411650512,0.007378537,1.36E-05,33.8095782,0.485084695,0.005176303,9.68E-06,43.61655015,0.653085203,0.007154422,1.61E-05,26.3248112,0.340936655
