# T, dilue rho, err, dense rho, err
303.0	0.026	0.033	0.324	0.024
283.0	0.001	0.003	0.452	0.025
288.0	0.003	0.004	0.414	0.025
298.0	0.011	0.024	0.350	0.035
293.0	0.001	0.002	0.399	0.023
