A1_t10_clique_timefreq,FUS_t10_clique_timefreq,EWSR1_t10_clique_timefreq,TIA1_t10_clique_timefreq,fh_0.02_t10_clique_timefreq,fh_0.14_t10_clique_timefreq,fh_0.22_t10_clique_timefreq
0.225,0.33,0.52,0.345,0.645,0.4,0.455
0.27,0.335,0.145,0.36,0.38,0.31,0.31
0.265,0.305,0.245,0.345,0.305,0.34,0.485
0.285,0.275,0.42,0.23,0.49,0.26,0.865
0.325,0.305,0.27,0.385,0.63,0.635,0.515
0.31,0.275,0.265,0.36,0.67,0.345,0.43
0.29,0.335,0.375,0.265,0.41,0.5,0.385
0.25,0.345,0.305,0.325,0.565,0.465,0.67
0.365,0.205,0.355,0.345,0.305,0.8,0.76
0.265,0.205,0.305,0.26,0.375,0.47,0.46
0.23,0.375,0.2,0.295,0.41,0.415,0.435
0.22,0.305,0.14,0.33,0.44,0.42,0.79
0.28,0.285,0.375,0.325,0.37,0.47,0.545
0.29,0.335,0.425,0.38,0.38,0.275,0.35
0.395,0.33,0.35,0.245,0.465,0.495,0.785
