A1_t10_clique_norm_rcom,FUS_t10_clique_norm_rcom,EWSR1_t10_clique_norm_rcom,TIA1_t10_clique_norm_rcom,fh_0.02_t10_clique_norm_rcom,fh_0.14_t10_clique_norm_rcom,fh_0.22_t10_clique_norm_rcom
0.42616241390058285,0.38848002720634955,0.5408079052386143,0.6483022630479492,0.24821913858425732,0.4591610090580263,0.3108530209053715
0.5710931119532109,0.523600235,0.5564649026469904,0.444474653,0.3014908429881369,0.4592577008930674,0.41334552727269275
0.5346308244248806,0.46540054183088675,0.5541724172066153,0.46364224669991466,0.35194400302121226,0.2989637786995222,0.2803509399364203
0.404767468,0.36889199270997225,0.6024461959602905,0.6113133400773939,0.1583957758112052,0.30624949104440696,0.46685368864247845
0.47675386713945134,0.18191986408743763,0.38605333894767074,0.47756302508084114,0.29221356416508837,0.30256623501849284,0.5344675390528201
0.4626218256229719,0.5496785417868617,0.4207949938151561,0.4854780746868553,0.2763764826642569,0.42384386076925057,0.42140467776103147
0.36806968068794665,0.4028473105502207,0.46971459967389984,0.5481730238605814,0.27438125566616567,0.4264237251307927,0.3995290329553152
0.31710748755689444,0.5370413497290069,0.5283978460984601,0.43534100863659286,0.20012811467758865,0.3210833468243572,0.46158531829275146
0.2777442974559852,0.5020016576872396,0.5336363205268152,0.5196933441966088,0.15239044745534325,0.37269376,0.3332843316225171
0.48865923446327386,0.44211965853679175,0.5647225800710189,0.437148328,0.1365833526516929,0.31505465013216816,0.518546178
0.5416127878325954,0.3923519257744149,0.5715341386932221,0.6420775346743909,0.3113429820118917,0.41496360033975466,0.41758337366951476
0.613581084,0.5919729357856802,0.3945923685809123,0.37317214721750935,0.16219092317080286,0.2944026841347671,0.416593752
0.4806719742309385,0.5193756791379166,0.2825148895909292,0.48230431830979414,0.26766765744782284,0.2679167863177368,0.536163097
0.26488847237638247,0.513462248,0.5775996025706882,0.20492280351205472,0.24925954999374242,0.2773306081885398,0.3018810289296645
0.41197491171377715,0.4517285408355817,0.37468823975069315,0.38578025844151903,0.13193408186072703,0.2904055140085961,0.5131068816507856
0.40948038460350444,0.6381554777096272,0.521061289,0.31062873114379586,0.20636261736841569,0.4370874486462551,0.4351006443781139
0.36098839793273374,0.5087491540821529,0.49920214152535886,0.4895313683809992,0.086642731,0.19392591355980168,0.31705750918004016
0.40121602850246024,0.6042916722916781,0.5389827789637096,0.5409244516522025,0.21834746681032047,0.4500331299328449,0.5454846816733933
0.2057220794402733,0.38847427058728234,0.49009692283277917,0.4452501565127246,0.19494701325837993,0.47689335570901953,0.5113296339357951
0.39667410181632057,0.3997325955979435,0.6197718443770726,0.5345899708217082,0.3548014067943843,0.3824673990306471,0.2909204480533131
0.5111960534925425,0.522389328,0.5831619866451112,0.4205193716590404,0.3723644655209388,0.2904221574922972,0.5528602249138956
0.40794736390855896,0.25878274094932807,0.4477844740963891,0.5915662845025785,0.19442482341768888,0.4348085676435793,0.4665229496291271
0.47006807755588614,0.46590639573869125,0.49474813610646917,0.5691552571631971,0.3381785410915159,0.42175628916345376,0.4747843863850838
0.3421570596112219,0.48060459702739194,0.21507565883642007,0.3055510528709242,0.2153577127656738,0.36367627938697134,0.4717154162870732
0.41462970060255755,0.6595928677784281,0.49013053111085064,0.4780771853027566,0.1883863569669287,0.4264275135596297,0.20271692550303716
0.4158887106964535,0.6380019004388432,0.43155216063891866,0.5391830063446433,0.1403516433834452,0.49117889735959475,0.39463327722552755
0.3854779248575439,0.4464646963520651,0.4700845694727938,0.4788960033012616,0.26693092528375495,0.14286500068672656,0.5641790366439045
0.2572593337503914,0.3946030805380051,0.46105192535196565,0.4341291972671149,0.17061751072963405,0.3592625711781246,0.40256251324496356
