fus_10hubs_rcom (Å),fus_10cliques_rcom(Å)
50.98186705395855,69.84205890498065
57.88170389435957,94.13435928506175
61.84068495893811,83.67105071195132
31.688054817818482,66.32046560978121
47.859833252212816,32.70607747
83.27029826379994,98.82279243635303
66.91472878732287,72.42505051
64.56348905013348,96.55084162733644
57.00388912623548,90.25130481
48.690659205769514,79.48554641697122
39.92617776952412,70.53815998850249
57.17380628796175,106.42660048347022
55.800995937796976,93.37485645535347
64.90449968848995,92.31172282
32.965106428843264,81.21305896980226
60.428391956702846,114.72943097035329
62.368826900914556,91.46438915478959
56.060255192764174,108.64129843557328
51.10020362206274,69.84102396341396
80.31063842757631,71.86507808074018
60.26954447890861,93.91665886690149
75.07443144141556,46.52470698931187
38.62905290591277,83.76199459
75.16835476,86.40447957382908
73.85469793366283,118.58350674027427
108.8804085497685,114.70182040599636
46.06873699825008,80.26670983796093
56.50385483811907,70.94287908
66.40164092042582,48.80623672614405
77.03646467,93.99615660541558
70.13708245827111,57.62118750939129
42.53963311545705,83.91604765008124
79.18463509061662,88.87615658984036
61.841686727356006,95.43132102
59.94943540355348,50.279766848493594
63.137435701403724,94.27616172887917
66.21659596251756,96.99845267312335
53.53839837369514,70.59550427040857
89.63807787008689,100.3922204844304
51.17723964419548,103.26486822829857
50.68694704357288,106.54291677465696
46.60062401157915,76.050561
52.05162096299672,102.30357090408657
45.27562311805321,98.24623728575901
39.51569735387341,103.87806565386451
74.57459560578707,90.93420128763022
85.04276497478415,82.55203605973053
63.77680271770946,71.08900113538662
42.184302464287946,84.45676018
122.04249956454942,90.38026351
36.98319276680019,78.57195341512006
65.30659552877333,74.92052915399395
81.85551470389369,97.07848135781433
63.173091590128706,86.41274094603405
27.05376952537314,84.27692628237652
64.80214442,55.10685311
85.39611355800919,80.35587215805155
55.20468794686427,103.50395721090973
61.54843331046871,66.46212118622319
56.64278111933946,64.42376806395279
70.9195963,116.12262410515558
73.86700694466849,95.53855794745814
78.33531271362821,79.03854949392324
20.165450011675713,82.16048797837115
70.40541755,123.04552589148362
