S4Yx30-clique-rcom-normalized,S9Yx15-clique-rcom-normalized,S12Y3x10-clique-rcom-normalized,S24Y6x5-clique-rcom-normalized,S120Y30-clique-rcom-normalized,Sc_S4Yx30-clique-rcom-normalized,SSYx50-clique-rcom-normalized,YSx75-clique-rcom-normalized,Yx150-clique-rcom-normalized,YYSx50-clique-rcom-normalized
0.206756475,0.235455833,0.266176172,0.210766324,0.213650798,0.618217286,0.183184825,0.11038373,0.285759676,0.209659517
0.228982639,0.253935928,0.335906397,0.456933539,0.139715408,0.125095306,0.115004143,0.184658749,0.19603885,0.260258065
0.186790328,0.167212128,0.166340856,0.835039226,0.658344706,0.143879875,0.263339322,0.102489198,0.205513725,0.184183827
0.29791456,0.226727003,0.225414137,0.205155207,0.594360805,0.246228782,0.286601949,0.257147408,0.254648348,0.235613467
0.191828084,0.217710773,0.238493703,0.255560601,0.096818512,0.277972559,0.319430349,0.276546616,0.240373399,0.113565934
0.299232397,0.130479494,0.393274759,0.337926167,0.601807844,0.491531331,0.200783124,0.240535057,0.205959705,0.169833319
0.298148369,0.153219686,0.152869554,0.448416809,0.152089954,0.275247148,0.184115266,0.224669504,0.246475734,0.177932018
0.220247878,0.156302158,0.175270042,0.182011146,0.61018164,0.225047684,0.247076618,0.207037241,0.253796156,0.168058948
0.301726235,0.222020905,0.175019913,0.483759236,0.099234841,0.205781702,0.256384792,0.172938677,0.255703455,0.17542804
0.265864311,0.300000106,0.303745376,0.893651533,0.203486476,0.512420636,0.337261306,0.283551795,0.289788183,0.173768958
0.287024587,0.199809826,0.277375809,0.190490265,0.214756614,0.266215411,0.181555278,0.254103459,0.223388704,0.059438153
0.219670285,0.30890616,0.299847429,0.452349265,0.151723208,0.374730629,0.301300793,0.217297998,0.297213514,0.273027904
0.259638956,0.249509468,0.432757995,0.975967374,0.589377059,0.421846717,0.167664224,0.257066895,0.156635227,0.188572676
0.188157754,0.240638931,0.380940373,0.096501857,0.147687659,0.249709253,0.259346188,0.17096936,0.231580988,0.099629246
0.194949843,0.110884876,0.383410454,0.344421383,0.088788487,0.503629577,0.248413781,0.240542574,0.162284095,0.225721308
0.165382136,0.120071848,0.259216392,0.066316187,0.608915075,0.353717874,0.287574495,0.201996348,0.207390404,0.213611067
0.166245643,0.266959054,0.273186448,0.427612627,0.114993123,0.398026913,0.205132774,0.199117455,0.147082866,0.1665682
0.235631589,0.292588275,0.244329821,0.266612621,0.237641671,0.279926025,0.111958076,0.328663368,0.212505931,0.220606267
0.16661183,0.232070376,0.107338946,0.311119,0.222442138,0.334169858,0.300273319,0.16342855,0.239458437,0.247587539
0.165451766,0.25317475,0.233463986,0.170288469,0.710872924,0.270261182,0.30308459,0.185003054,0.252678209,0.202188737
0.289169559,0.271892302,0.195706058,0.449569441,0.217340689,0.216849579,0.213632383,0.181623399,0.318991263,0.206913836
0.303071259,0.209345477,0.351070724,0.449994247,0.129606916,0.306544438,0.289453369,0.299813918,0.22830861,0.186366513
0.057978633,0.301946902,0.293229031,1.128702349,0.129042219,0.328395098,0.202142521,0.285576953,0.206767466,0.204401173
0.044513755,0.307247688,0.215642993,0.201677784,0.602353676,0.380105385,0.231212773,0.185201974,0.267204057,0.143478079
0.028822173,0.294061292,0.17036618,0.13556811,0.149267875,0.25600801,0.191429244,0.283353741,0.279914614,0.23430107
0.049920676,0.303232966,0.358747889,0.209523425,0.156921288,0.288994029,0.210491275,0.267333431,0.263656179,0.230952797
0.22275186,0.237595396,0.309382595,0.107266587,0.599688483,0.339649492,0.253816906,0.110412318,0.302793272,0.242085522
0.028032155,0.249765629,0.221452784,0.595663191,0.133658346,0.151891343,0.236786483,0.2216611,0.276458717,0.251951954
0.132010633,0.310781368,0.18279034,0.591720335,0.235118015,0.255168872,0.12983499,0.230053426,0.318886693,0.243654521
0.292050247,0.2276036,0.225882425,0.981729085,0.194403291,0.257646456,0.165323842,0.193434557,0.283052755,0.193067778
0.263601832,0.111104343,0.276101891,0.254483455,0.204975939,0.202291125,0.192977732,0.262796308,0.30678289,0.185909677
0.204503223,0.267420503,0.181804897,0.567055893,0.702412167,0.284420441,0.15881477,0.13728555,0.34512169,0.222769675
0.248368197,0.213484655,0.149847832,0.222958927,0.134204656,0.370906459,0.191462103,0.150963426,0.252552678,0.132810336
0.040532615,0.226816005,0.356395386,0.445531934,0.201707307,0.429346914,0.228347252,0.22057876,0.163494022,0.185532256
0.171473216,0.252174723,0.121149303,0.205954958,0.152334148,0.179485968,0.271415384,0.342760915,0.317829964,0.228714032
0.274511271,0.271379643,0.167696609,0.405862435,0.579426031,0.457320624,0.220038664,0.323407515,0.283976391,0.218071732
0.209474455,0.20749868,0.274995899,0.148415389,0.160659183,0.438064172,0.200275115,0.288845091,0.193657866,0.163947755
0.214215675,0.201498872,0.125050247,0.504292229,0.100323799,0.368562867,0.206674953,0.25067107,0.280619126,0.185551519
0.233221372,0.164300008,0.089058968,0.125993448,0.103673295,0.330277049,0.163884117,0.120050045,0.232202553,0.261780831
0.249673788,0.206973144,0.218796521,0.993091152,0.115813415,0.311992777,0.22612116,0.111762033,0.297586828,0.229162271
0.238273987,0.295720107,0.198698017,0.23547465,0.148430507,0.582136387,0.308378595,0.236795687,0.261590767,0.218965814
0.056082959,0.164758953,0.181749643,0.561425162,0.212191604,0.21812155,0.230304787,0.26813262,0.224806694,0.192764443
0.116826333,0.23317376,0.175041934,0.150476993,0.131681118,0.320264336,0.236088126,0.24768782,0.249109358,0.198346123
0.180409017,0.187342547,0.287303795,0.893316395,0.727072582,0.402786416,0.267200178,0.315564601,0.232903975,0.279018516
0.171179276,0.227606558,0.235275553,0.452691095,0.732952922,0.346612298,0.294967475,0.229724904,0.165150979,0.272341409
0.218026435,0.27726895,0.224266191,1.017473548,0.161926146,0.354590205,0.278291086,0.244440184,0.165565572,0.186115203
0.209548471,0.273753142,0.298898446,0.410594777,0.089468034,0.285348444,0.326696541,0.297802021,0.139661771,0.157644583
0.1761979,0.269589948,0.14775299,0.449029709,0.146559747,0.227514501,0.22996175,0.264354381,0.202680403,0.140801554
0.130739244,0.289131757,0.291699479,0.065563796,0.204019303,0.30201752,0.187584293,0.228686719,0.176623748,0.281109311
0.113133141,0.248043682,0.347856621,0.046796794,0.196849879,0.359101632,0.21213796,0.191321452,0.21398661,0.267615896
0.120045671,0.236060156,0.311499056,1.128427274,0.199369764,0.304102336,0.253134863,0.260748053,0.317584488,0.23281376
0.257420038,0.18530993,0.299380411,0.272920965,0.625955508,0.299536776,0.249959816,0.287903935,0.193876384,0.273150102
0.170146006,0.228501273,0.165199917,0.08508621,0.133060203,0.366443057,0.127778093,0.258850491,0.195991124,0.218665078
0.179891543,0.171656522,0.250371353,0.469542977,0.143996005,0.228542863,0.137244336,0.217578433,0.266792012,0.24921814
0.223600816,0.290099634,0.284250658,0.165346006,0.599685663,0.338592064,0.315188376,0.284532863,0.214591292,0.294401222
0.203992519,0.227609573,0.290951224,0.360218777,0.084488581,0.250324563,0.271363907,0.320106514,0.26994349,0.250437207
0.183647607,0.272070985,0.259806557,0.533901274,0.096575427,0.182775723,0.29483023,0.274907817,0.234549354,0.241999346
0.201725809,0.300024708,0.234524683,0.181545946,0.105340625,0.36675478,0.225690479,0.224433391,0.194330194,0.213751764
0.163779633,0.317012466,0.22805628,0.528130518,0.242539661,0.391115231,0.23296381,0.22213466,0.290030231,0.133716338
0.138543212,0.234638311,0.196647734,0.533395303,0.174826408,0.291953194,0.329364795,0.249210073,0.172628937,0.220774956
0.203244578,0.193770476,0.191607377,0.268850716,0.732106082,0.265414429,0.234390078,0.139026021,0.258783979,0.123117756
0.242675915,0.270951128,0.279094481,0.279833739,0.189900903,0.206517472,0.171698212,0.180492364,0.263198133,0.234658414
0.19476858,0.324653503,0.284163698,0.366895687,0.147919756,0.348758742,0.199473241,0.20661047,0.261363549,0.217298202
0.344907367,0.304242029,0.229615711,0.066835859,0.630149002,0.35680143,0.293785343,0.157166122,0.273200396,0.1479502
0.203384962,0.383331332,0.176774792,0.394842043,0.614637706,0.347567997,0.27957207,0.249470384,0.288126668,0.153341563
0.234714867,0.155104779,0.211982042,0.457734634,0.160729716,0.295989062,0.214184162,0.180289276,0.260647615,0.154875336
0.210432858,0.189084329,0.265054948,0.265968192,0.137719252,0.378065054,0.226465979,0.253027656,0.258839436,0.169696988
0.276082243,0.288140826,0.3561114,0.151656009,0.089118107,0.432199269,0.259215257,0.286161638,0.297388942,0.174636337
0.137852641,0.262832843,0.247656961,0.290160803,0.584632446,0.452936894,0.239293221,0.227095583,0.300645997,0.129594081
0.197267612,0.198298531,0.210088154,0.542613633,0.094420147,0.293300415,0.315759955,0.223835733,0.314062852,0.140587652
0.247615178,0.272671037,0.217490506,0.39112113,0.208140938,0.56420588,0.270404521,0.169674127,0.219577527,0.228398164
0.252063809,0.346677235,0.221746073,0.924052951,0.131356287,0.333456347,0.260506016,0.258047184,0.320312047,0.233768878
0.292829428,0.228848217,0.21870763,0.400948348,0.201903125,0.46914447,0.197122201,0.287998421,0.270420654,0.230107672
