S4Yx30-hub-timefreq-normalized,S9Yx15-hub-timefreq-normalized,S12Y3x10-hub-timefreq-normalized,S24Y6x5-hub-timefreq-normalized,S120Y30-hub-timefreq-normalized,Sc_S4Yx30-hub-timefreq-normalized,SSYx50-hub-timefreq-normalized,YSx75-hub-timefreq-normalized,Yx150-hub-timefreq-normalized,YYSx50-hub-timefreq-normalized
0.095,0.02,0.025,0,0,0.04,0.04,0.035,0.045,0.13
0.005,0.015,0.005,0,0,0.065,0.025,0.075,0.015,0.025
0.12,0.02,0.02,0.03,0.035,0.03,0,0.08,0.04,0.115
0.01,0.065,0.035,0,0,0.05,0.06,0.04,0,0.12
0.055,0.07,0.115,0,0,0.03,0.025,0.02,0.03,0.02
0.055,0.06,0.055,0.005,0,0.11,0.035,0.01,0.025,0.02
0.05,0.115,0.055,0.02,0,0.09,0.06,0.11,0.005,0.02
0.04,0.025,0.065,0.515,0,0.055,0.05,0.08,0.075,0.03
0.025,0,0.065,0.095,0.04,0.025,0.01,0.115,0.07,0.03
0,0.025,0.025,0.04,0,0.14,0.01,0.235,0.025,0.03
0.08,0.01,0.045,0.085,0,0.07,0.08,0.03,0.025,0.04
0.01,0.025,0,0.115,0,0.005,0.045,0.03,0.01,0.05
0.055,0.05,0.005,0.225,0.015,0.045,0.04,0.035,0.035,0.035
0.015,0.005,0.04,0.11,0.235,0.005,0.045,0.075,0.02,0.045
0.04,0,0.05,0,0,0.05,0.005,0.04,0.085,0.04
0.035,0.02,0.115,0.045,0,0.01,0.07,0,0.07,0.04
0.015,0.035,0.06,0.01,0,0.05,0.02,0.105,0.11,0.02
0.03,0.11,0.015,0.085,0.005,0.05,0.095,0.01,0.02,0.08
0.095,0.03,0.03,0,0.09,0.035,0.02,0.08,0.09,0.02
0.165,0.09,0.01,0.01,0,0.105,0.1,0.02,0.02,0.03
0.035,0.07,0.005,0,0.175,0.01,0.125,0.05,0.015,0.025
0.06,0.115,0.045,0.015,0,0.005,0.015,0.03,0.035,0.045
0.125,0.035,0.095,0.075,0,0.035,0.005,0.15,0.035,0.105
0,0.02,0.09,0.19,0,0.02,0.03,0.13,0.115,0.125
0.03,0.045,0.03,0.02,0,0.06,0.045,0.03,0.115,0.06
0.01,0,0.05,0.22,0.12,0.095,0.03,0.025,0.125,0.08
0.005,0.15,0.08,0,0.08,0.03,0.135,0.05,0,0.04
0.04,0.055,0,0.545,0,0.115,0.075,0.025,0.085,0.02
0.05,0.005,0.055,0.01,0,0.11,0.05,0.025,0.07,0.06
0.04,0.135,0.025,0,0,0.02,0.02,0.065,0.05,0.025
0.005,0.03,0.065,0.06,0.005,0.03,0.05,0,0.14,0.015
0.05,0.035,0.03,0,0.25,0.015,0.025,0.04,0.015,0.01
0.025,0.015,0.005,0.215,0.05,0.115,0.02,0.015,0.015,0.025
0.13,0.06,0.095,0,0,0.01,0.035,0.08,0.005,0.025
0.02,0.055,0.005,0.21,0,0.095,0.05,0.015,0.02,0.065
0.11,0.005,0.025,0.025,0,0.055,0.04,0.045,0.09,0.005
0.04,0.005,0.05,0,0.035,0,0.1,0.045,0.035,0.035
0.015,0.01,0.055,0.015,0,0.065,0.05,0.01,0.085,0.035
0.065,0.015,0.065,0.01,0.005,0.035,0.07,0.135,0.025,0.02
0.01,0.005,0.035,0.125,0,0.085,0.005,0.01,0.04,0.07
0.06,0.07,0.08,0.16,0,0.045,0.105,0.035,0.085,0.065
0.005,0.025,0.055,0.04,0,0.05,0.01,0.045,0.02,0.055
0.055,0.015,0.145,0,0,0.12,0.005,0.085,0.005,0.135
0.01,0.02,0,0.065,0.015,0.015,0.05,0.03,0.03,0.01
0.025,0.1,0.065,0.055,0,0.075,0.015,0.025,0.025,0.02
0.05,0.05,0.095,0.045,0,0.07,0.01,0,0.14,0.165
0.015,0.01,0.12,0.245,0,0.045,0.04,0.02,0.015,0.02
0.04,0.015,0.04,0,0.025,0.045,0.08,0.13,0.06,0.025
0.125,0.03,0.12,0.005,0.16,0,0.1,0.105,0.02,0.025
0.115,0.005,0.015,0,0.315,0.015,0.06,0.02,0.02,0.06
0.05,0.01,0.025,0.065,0.44,0.015,0.03,0.03,0.06,0.04
0.105,0.045,0.005,0.165,0,0.1,0.035,0.015,0.04,0.085
0.11,0.015,0.035,0.03,0.04,0,0.065,0.035,0.08,0.015
0.04,0.16,0.015,0,0,0.065,0.01,0.015,0.045,0.095
0.035,0.13,0.075,0.035,0.005,0.025,0.015,0.03,0.09,0.12
0.01,0.015,0.04,0.005,0,0.12,0.065,0.025,0.025,0.075
0.07,0.07,0.035,0.02,0.04,0.05,0.02,0.005,0.035,0.005
0.09,0.09,0.12,0.21,0,0.02,0.02,0.06,0,0.075
0.01,0.02,0.015,0.045,0.015,0.015,0.015,0.03,0.045,0.01
0.15,0.035,0.035,0.045,0.01,0.02,0.055,0.125,0.04,0.055
0.105,0.045,0.075,0.035,0.005,0.1,0.06,0.075,0.035,0.035
0.035,0.045,0.06,0.08,0.355,0.01,0.05,0,0.03,0.01
0.095,0.025,0.14,0.045,0,0.06,0.005,0.065,0.09,0.015
0.005,0.05,0.085,0,0,0.03,0.08,0.02,0.075,0.01
0.015,0.015,0,0,0,0.07,0.045,0.005,0.015,0.05
0.05,0.08,0.015,0.045,0,0.08,0.045,0.01,0.02,0.16
0.035,0.02,0.07,0,0.03,0.02,0.085,0.1,0.005,0.105
0.025,0.14,0.015,0,0.39,0.045,0.03,0.085,0.015,0.035
0.035,0.065,0.005,0.005,0.005,0.005,0.095,0.025,0.105,0.035
0.02,0.09,0.07,0.045,0,0.015,0.07,0.095,0.055,0.055
0,0,0.025,0.035,0,0.09,0.02,0.02,0.07,0.015
0.015,0.16,0.05,0.215,0,0.065,0.12,0.01,0.015,0.04
0.075,0.035,0.025,0.02,0,0.015,0.025,0.04,0.2,0.075
0.04,0.075,0.015,0.135,0.045,0.05,0.07,0.11,0.01,0.01
0.055,0.03,0.025,0.095,0.155,0.02,0.04,0.065,0.05,0.01
0.07,0.02,0.025,0,0,0.07,0.035,0.015,0.08,0.105
0.055,0.025,0.015,0,0,0.04,0.09,0.01,0.075,0.015
0.065,0.085,0.015,0.045,0,0.025,0.025,0.005,0.01,0.015
0.06,0.015,0.035,0.01,0,0,0.01,0.055,0.005,0.01
0.015,0.07,0.12,0,0,0.08,0.005,0.05,0.01,0.08
0.035,0.11,0.025,0.04,0.015,0.005,0.08,0.03,0.005,0.01
0.11,0.025,0.035,0.105,0,0.085,0.085,0.03,0.02,0.08
0.095,0.02,0.005,0.04,0.005,0,0.03,0.17,0.05,0.045
0.04,0.105,0.08,0.025,0.01,0.085,0.04,0.085,0.1,0.06
0.03,0.115,0.02,0.02,0,0.01,0.005,0.03,0.09,0.095
0.03,0.13,0.01,0,0.02,0.015,0.025,0.035,0.07,0.01
0.04,0.025,0.035,0,0.005,0.04,0.045,0.05,0.075,0.015
0.015,0.015,0.015,0.04,0,0.075,0.05,0.06,0.015,0
0.05,0.045,0.01,0.005,0.025,0.015,0.065,0.025,0.03,0.045
0.025,0.035,0.005,0.04,0.005,0.065,0.095,0.015,0.04,0.045
0.05,0.025,0.005,0,0,0.03,0.05,0.1,0.005,0.06
0.015,0.015,0.02,0,0.11,0.105,0.005,0.065,0.045,0
0.055,0.065,0.03,0,0.03,0.08,0.04,0.035,0.095,0.035
0.035,0.05,0.04,0.42,0,0.03,0.06,0.125,0.08,0.055
0.06,0.055,0.08,0,0,0.08,0.14,0.075,0.06,0.055
0.045,0.02,0.035,0.02,0,0.04,0.005,0.045,0.04,0.04
0.1,0.02,0.015,0.005,0.25,0.005,0.055,0.07,0.06,0.01
0.03,0.04,0.12,0,0.2,0.005,0.06,0.085,0.03,0.09
0.045,0.065,0.055,0,0.395,0.02,0.055,0.005,0.07,0.005
0.01,0.04,0.075,0.06,0,0.02,0.045,0.04,0.07,0.02
0.05,0.04,0.065,0.025,0,0.045,0.095,0,0.025,0.05
0.055,0.095,0.04,0.14,0.015,0.08,0.015,0.06,0.075,0.065
0.06,0.025,0.14,0,0.045,0.02,0.04,0.045,0.06,0.06
0.015,0.025,0.015,0,0.21,0.03,0.01,0.04,0.06,0.065
0.105,0.03,0.035,0.125,0.475,0.03,0.105,0.065,0.04,0.115
0.015,0,0.03,0.095,0,0.04,0.02,0,0.085,0.025
0.01,0.04,0,0.005,0,0.065,0.02,0.02,0.035,0.01
0.115,0.12,0.005,0,0.105,0.01,0.07,0.025,0.045,0.055
0.07,0.005,0.03,0,0.05,0.06,0.035,0.01,0.045,0.105
0.02,0.015,0.015,0,0.01,0.005,0.03,0,0.045,0.01
0.035,0.05,0.045,0.04,0.38,0.11,0.055,0.03,0.035,0.06
0.05,0.165,0.005,0,0,0.03,0.055,0.06,0.02,0.065
0.05,0.155,0.04,0,0,0.07,0.07,0.01,0.035,0.125
0.06,0.01,0.045,0,0.005,0.005,0.075,0.095,0.01,0.035
0.025,0.055,0.015,0,0,0.035,0.025,0.03,0.05,0.025
0.04,0.035,0.03,0.005,0,0.14,0.055,0.035,0.085,0.025
0.07,0.015,0.08,0,0.005,0.095,0.055,0.095,0.065,0.03
0.045,0.01,0.02,0.025,0,0.05,0.135,0.06,0.065,0.015
0.155,0.01,0.08,0.155,0.005,0.055,0.09,0.04,0.01,0.025
0.035,0.015,0.04,0,0,0.005,0.075,0.045,0.05,0.135
0.115,0.115,0.01,0,0.22,0.005,0.055,0.015,0.13,0.035
0.015,0.005,0.035,0,0.01,0.025,0.01,0.065,0.085,0.03
0.05,0,0.095,0,0.085,0,0.045,0.09,0.075,0.03
0.02,0.03,0.06,0,0,0.065,0.01,0.08,0.005,0.04
0.085,0.175,0.05,0.005,0,0.065,0.055,0.085,0.03,0.025
0.115,0.045,0.025,0,0,0.035,0.015,0.035,0.055,0.02
0.05,0.045,0.075,0.28,0.29,0.07,0.07,0.02,0.025,0.03
0,0.06,0.045,0.215,0.055,0.03,0.05,0.015,0.01,0
0.02,0.02,0.075,0,0.44,0.07,0.055,0.015,0.025,0.01
0.11,0.045,0.065,0,0,0.055,0.035,0.075,0.03,0.005
0.06,0.11,0.015,0.07,0.005,0.02,0.035,0.185,0.045,0.01
0.06,0.05,0.105,0.07,0,0.05,0.025,0.045,0.06,0.08
0.05,0.025,0.025,0,0.22,0,0.02,0.01,0.03,0.03
0.04,0.015,0.03,0.03,0.005,0.035,0.065,0.02,0.01,0.045
0.055,0.04,0.085,0.105,0.235,0.015,0.05,0.015,0.03,0.05
0.06,0.005,0.01,0.005,0,0.05,0.055,0.02,0.015,0.075
0.01,0.05,0.07,0.01,0,0.04,0.055,0.07,0.14,0.04
0.01,0.03,0.04,0,0,0.03,0.02,0.005,0.02,0.055
0.095,0.015,0.045,0,0.035,0.075,0.015,0.03,0.045,0.075
0.06,0.05,0,0,0.005,0.17,0.05,0.105,0.125,0.03
0.01,0.11,0.05,0.045,0.24,0.13,0.075,0.03,0.05,0.06
0.055,0.035,0.07,0,0,0.09,0.05,0.045,0.125,0.09
0.02,0.01,0.03,0,0,0.01,0.035,0.03,0.005,0.06
0.03,0.005,0.025,0,0.06,0.02,0.145,0.01,0.04,0.09
0.015,0.015,0.06,0,0,0.07,0.02,0.035,0,0.095
0.02,0.105,0.035,0,0,0.06,0.03,0.01,0.025,0.02
0.025,0.045,0.055,0,0,0.02,0.015,0.04,0.015,0.085
0.005,0.04,0.01,0,0,0.05,0.015,0.025,0.06,0.08
0.11,0,0.005,0,0,0.01,0.01,0.025,0.02,0.05
0.02,0.07,0.065,0,0.02,0.01,0.025,0.015,0.025,0.025
0.02,0.01,0.02,0,0,0.045,0.055,0.03,0.055,0.135
0.065,0.04,0.04,0,0.005,0.015,0.04,0.04,0.015,0.01
0.08,0.025,0.035,0.07,0,0.1,0.025,0.025,0.05,0.06
