S4Yx30-clique-timefreq-normalized,S9Yx15-clique-timefreq-normalized,S12Y3x10-clique-timefreq-normalized,S24Y6x5-clique-timefreq-normalized,S120Y30-clique-timefreq-normalized,Sc_S4Yx30-clique-timefreq-normalized,SSYx50-clique-timefreq-normalized,YSx75-clique-timefreq-normalized,Yx150-clique-timefreq-normalized,YYSx50-clique-timefreq-normalized
0.025,0.08,0.09,0.11,0.025,0.015,0.09,0.105,0.09,0.025
0.08,0.06,0.115,0.055,0.015,0.05,0.055,0.07,0.09,0.04
0.04,0.115,0.1,0.09,0.53,0.05,0.09,0.1,0.11,0.07
0.055,0.09,0.12,0.065,0.1,0.035,0.07,0.065,0.06,0.1
0.105,0.075,0.14,0.07,0.015,0.05,0.065,0.055,0.07,0.09
0.08,0.05,0.16,0.085,0.16,0.025,0.1,0.085,0.095,0.085
0.1,0.135,0.105,0.045,0.04,0.05,0.045,0.105,0.07,0.05
0.07,0.07,0.055,0.09,0.01,0.02,0.04,0.07,0.07,0.08
0.115,0.085,0.105,0.095,0.025,0.04,0.085,0.095,0.08,0.04
0.05,0.045,0.165,0.05,0.02,0.04,0.08,0.135,0.075,0.07
0.06,0.095,0.135,0.11,0.01,0.045,0.07,0.05,0.065,0.085
0.035,0.125,0.105,0.06,0,0.035,0.08,0.095,0.115,0.06
0.045,0.1,0.135,0.04,0.005,0.065,0.075,0.045,0.095,0.065
0.055,0.065,0.15,0.125,0.04,0.035,0.1,0.045,0.055,0.075
0.095,0.08,0.115,0.055,0.01,0.065,0.06,0.06,0.105,0.125
0.12,0.08,0.135,0.075,0.23,0.045,0.07,0.085,0.09,0.035
0.02,0.075,0.15,0.12,0.27,0.09,0.075,0.085,0.1,0.06
0.095,0.105,0.11,0.125,0,0.05,0.135,0.085,0.055,0.06
0.08,0.095,0.145,0.05,0.045,0.06,0.08,0.095,0.075,0.05
0.07,0.115,0.105,0.185,0.25,0.045,0.085,0.04,0.075,0.065
0.12,0.08,0.125,0.075,0.1,0.06,0.095,0.05,0.095,0.105
0.055,0.055,0.065,0.185,0.87,0.06,0.07,0.065,0.1,0.08
0.055,0.075,0.12,0.22,0.105,0.095,0.135,0.055,0.085,0.055
0.04,0.07,0.12,0.21,0.06,0.085,0.115,0.055,0.065,0.11
0.05,0.07,0.16,0.21,0.025,0.085,0.055,0.075,0.09,0.08
