A1-LCD-clique-displacement-angstrom,FUS-LCD-clique-displacement-angstrom,EWSR1-LCD-clique-displacement-angstrom,TIA1-LCD-clique-displacement-angstrom
48.26380903790268,22.40076168741881,21.72707252,30.756994328422646
30.319769536838226,9.984529845236649,15.137915963391222,23.195633341191126
27.796389921330704,27.546241267706712,27.879371857566262,24.578793460193943
26.02652384528294,25.07360132577317,21.663536859757308,30.65131349720378
21.564961094096788,27.995408349335598,21.388573531118894,10.283181586466766
16.84007027111771,16.838482341664132,14.991915843785094,27.094886479600113
15.162179095836697,24.525292309108536,35.803745318137324,16.15043316
24.72823788857873,29.75448412660761,14.280433400598643,15.635628688794654
29.25631894508801,8.765310889920528,23.648619769848708,37.24891007827841
39.03033987073178,13.758752415297572,15.573011826473447,32.87669794
17.77819499967724,38.71473295520141,10.50575500842757,28.16467281671342
13.228021379031286,23.205213504595633,16.212066281105265,51.26856583694048
13.363164170362673,25.987516658563752,18.394767061168253,10.252159632508063
27.172049005429137,23.10551720286969,13.026132107826978,24.45888658515353
23.395431615090036,21.937869713442755,12.315437066800438,21.65812247656935
13.033587615164983,22.037393124773764,10.493889504081814,53.72910592564145
19.17540337483446,31.650984555834704,11.091015489003265,33.610626081467615
25.65346185,19.539636970547622,19.390325696310683,26.502802434781252
28.413757768250104,22.18733977745694,19.169407869676323,33.65905409355108
28.568252896445866,11.655446197977781,18.756069918231628,18.00733685244701
13.405667659092604,33.576204497372345,14.640432706680858,23.67055705971346
20.550990472785823,13.126218613999995,12.478196652878673,18.04519020513083
17.41554064185214,28.68639167859127,30.254753035076135,23.49377030549069
57.81279406178591,15.990026414504282,16.773918073427165,41.226199249635215
16.453656280953098,10.138939705483457,27.734260269392408,24.996624485715856
24.383061228303035,38.45017730726389,17.24909063647752,18.92474701
24.73639552943922,24.058022262060973,23.814279051902435,30.232814598509286
22.381098030234757,19.651108012155934,29.716444751072743,20.45561838950634
22.341852893676972,18.971915630518943,11.496828951800078,18.275597216405636
29.411729564077664,33.27004604150237,18.17344867074153,33.47241936226667
27.47535982231239,17.107567732517786,17.744485909431837,48.44256311306532
27.64172754,20.967586274505187,24.471721118495793,22.875192722334624
19.477762566650593,10.370022842410847,9.505823454,41.38136064062736
33.68266851103466,19.15962336520336,26.304624437100024,43.34522222182416
9.475120998867387,9.466565352772689,25.67631153419061,49.36501321734272
42.84423392279761,18.861589090469188,29.26305490817908,15.14030450696638
19.989186429593087,12.530861507248115,16.95612224575273,20.160570003156415
32.83875726006781,38.18770598183703,27.02236954055926,13.621491413302655
23.949117077475776,15.460614898601438,16.99225443820284,33.80029739437984
18.917108194877223,25.391962826220286,12.231789259503506,26.386748443488806
20.86242016457919,32.447225917874675,14.76645914778575,16.056594112798102
23.51940359353012,14.422988481166533,6.405582517266477,15.85618370828918
24.733175932322204,25.118562774585186,17.948343774250183,20.559508096224775
25.780639760842945,17.171575507110575,21.435505944281445,19.389196527972803
36.13731827171946,21.009372214113714,19.93838082673955,23.85264197243935
29.461045901320475,27.27025772944453,11.05663323545614,31.43042947900873
32.45583751460149,19.421243484501545,13.180406638610735,35.08668052794167
20.891752476763408,20.90479776823811,15.794087390531242,25.971933100931125
32.295752347587516,17.965689024460254,28.723001322150182,27.448837345134514
34.25419673615727,31.07832698934729,18.5135239,27.066117920791903
42.91828535951873,15.522099941987744,16.38160934814458,27.224545129920106
19.447411925756825,14.66927841167355,15.09632704674171,30.95296913181572
12.527943,30.83601795407998,13.152736954676751,23.71175013
13.790456301061074,28.054451101264426,17.58547272780371,36.2342445
24.59155326665406,28.822662161460237,19.252796384392326,31.280836792665763
14.841416536092737,15.87804643889364,23.817397787031428,12.020939179572535
34.23662815894042,10.78303971351926,10.905384290925426,32.072289344483636
29.80164886395915,24.344465382391668,13.007562698311169,31.048272216460187
23.51954870328017,9.744349099347712,20.277583027749753,34.49642586390751
28.634345615491192,13.213239866915917,10.740281683335033,16.70368869406701
20.392493488426034,27.262584064031877,10.542590911592427,35.885823301606756
22.79457415323695,20.804686878757874,19.418051688390996,21.022809996349785
36.89725698841689,17.251122629042374,24.56107220964652,16.83138453790998
13.263518097341692,23.32225082256342,8.771526594848446,31.376236047236638
13.982656322896156,23.083793517650214,11.878535112588528,22.61609253755537
25.93508956741759,28.632663910849793,14.099983574812498,25.18450081811914
34.588662775854154,17.55648489723313,6.779643256954296,30.817197590265476
17.869595511014573,15.942282407270966,21.541310549130007,34.303909840079655
18.59817408,48.59823339841608,10.579279131669374,19.68616944916404
14.558400247092173,15.786056724278165,10.83952261248664,15.338958796357979
16.059892559744686,35.65851512311388,16.785607049972324,36.919199336525175
12.37758604979841,11.148143709670759,10.392159017230815,26.20593220727814
26.21657431573679,18.949645582473472,15.054110753980037,19.28169893643003
17.721998194173807,24.121926832942307,30.44135170507539,26.267174800080873
24.37557774303861,29.661680563580568,32.04457724333872,15.66458347605004
36.59072156208519,26.993282164259938,8.942682773107592,25.57879444
40.56512123,20.700501652016403,18.79280357848701,31.68649059542505
26.388361644159563,26.701232300696688,12.509161238916658,38.86901579967631
32.951202381109965,16.06211939825816,17.664351597794067,25.163161852184174
14.04015421080568,22.624512190538184,24.983515684270323,19.572283924124168
