A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-displacement-angstrom,A1-LCD-displacement-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-displacement-angstrom,FUS-LCD-displacement-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-displacement-angstrom,EWSR1-LCD-displacement-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-displacement-angstrom,TIA1-LCD-displacement-error-angstrom
0.001039332,6.03E-06,32.48215929,0.818966862,0.00133146,7.40E-06,30.05952364,0.781866871,0.001049194,6.11E-06,24.38724604,0.58243534,0.001100516,8.20E-06,33.78826576,0.956887943
0.001393727,8.42E-06,30.5332767,0.775520905,0.001717001,7.80E-06,29.53584711,0.796827739,0.001330447,4.89E-06,24.73678074,0.615407773,0.001525811,9.04E-06,32.94358768,0.938651301
0.001815906,7.97E-06,29.71909689,0.690693086,0.002129435,7.07E-06,30.13168684,0.802345082,0.001600946,5.86E-06,24.24946845,0.618330126,0.001991464,8.62E-06,32.21803139,0.728987955
0.002223573,8.46E-06,29.49275243,0.782561612,0.002480526,7.55E-06,30.07734481,0.857600362,0.001887802,5.40E-06,23.46342817,0.587534196,0.002471368,1.01E-05,30.24683382,0.820419675
0.00263457,9.02E-06,29.91197059,0.837571375,0.002871275,7.95E-06,27.27571124,0.699207193,0.002144737,4.78E-06,22.78126079,0.571378264,0.002940704,9.24E-06,32.15485226,0.862378954
0.003106456,8.39E-06,27.84538629,0.745462453,0.003296236,7.91E-06,26.73279909,0.700810021,0.002418075,5.47E-06,22.23299066,0.522612162,0.003456095,1.04E-05,29.93929864,0.708882755
0.003583424,9.90E-06,28.44739907,0.699716615,0.003674554,7.53E-06,28.16295288,0.74008368,0.002687897,5.57E-06,21.74541893,0.533172577,0.004036278,1.12E-05,31.23173999,0.826784431
0.004016405,7.83E-06,28.54788947,0.727203036,0.004115713,8.53E-06,26.70345915,0.675419611,0.002992927,5.97E-06,22.33164477,0.522168288,0.004599225,1.05E-05,30.59595944,0.788283018
0.004431182,8.63E-06,27.4769447,0.726052579,0.00456859,9.76E-06,27.46591461,0.678855228,0.003326051,6.34E-06,21.28927005,0.536830726,0.005166374,1.19E-05,29.18801221,0.885355974
0.004931237,1.02E-05,27.60932656,0.749601922,0.00504931,9.01E-06,26.68389164,0.650334483,0.003627418,5.62E-06,20.62230379,0.481931794,0.005800104,1.20E-05,30.18050592,0.737485819
0.005456083,9.35E-06,26.79632798,0.658133163,0.005505921,8.21E-06,26.60757507,0.67406595,0.003912336,5.21E-06,21.12795426,0.50066265,0.006396269,1.31E-05,28.82598039,0.744132908
0.005931968,9.43E-06,26.33537324,0.710213739,0.005950121,9.45E-06,26.1268562,0.666011995,0.00420977,6.14E-06,20.70557302,0.470281721,0.007060312,1.28E-05,28.78694358,0.599837278
0.006405447,9.53E-06,27.96085379,0.696972226,0.006441711,9.56E-06,25.35748872,0.605746735,0.004556103,6.62E-06,20.68365346,0.498860049,0.007742934,1.29E-05,29.14311106,0.639088988
0.006877339,9.93E-06,27.00176415,0.6949028,0.006893959,8.57E-06,26.10874318,0.564751092,0.004873366,6.59E-06,20.59163947,0.533692537,0.008391281,1.30E-05,28.66187771,0.703515983
0.007407784,9.88E-06,26.13608488,0.636345101,0.007393449,1.17E-05,25.69731041,0.647305759,0.005208279,6.47E-06,20.07752469,0.466116162,0.009030017,1.19E-05,32.29764593,0.930910682
