A1-LCD-hub-rcom-normalized,FUS-LCD-hub-rcom-normalized,EWSR1-LCD-hub-rcom-normalized,TIA1-LCD-hub-rcom-normalized
0.166861805,0.176698194,0.161918808,0.05856293
0.167093847,0.220036946,0.235844227,0.117498782
0.175205063,0.195183884,0.093632367,0.061929865
0.320314493,0.150733059,0.134323542,0.114194637
0.266546329,0.152575293,0.285766822,0.183464009
0.209308311,0.224088784,0.078186513,0.102927099
0.173370172,0.121081756,0.215139934,0.183449209
0.227734576,0.230988318,0.234339774,0.148389096
0.212435839,0.268035082,0.099745656,0.218698265
0.166196984,0.228473437,0.242501007,0.128573105
0.070616037,0.210338364,0.172462609,0.066746804
0.160159519,0.061722752,0.161545671,0.124783083
0.135356731,0.116052309,0.158178011,0.100469302
0.140319937,0.123281732,0.18539922,0.131364363
0.156375395,0.118223903,0.216256251,0.148303538
0.259598325,0.185923401,0.283405664,0.184190989
0.130816356,0.080843734,0.220703861,0.201291934
0.234695941,0.138926599,0.137455529,0.154380539
0.161054862,0.138742073,0.228121278,0.175252122
0.172746296,0.183570132,0.088471458,0.203238667
0.221150378,0.128328656,0.213911745,0.048117643
0.187096965,0.119473912,0.133189616,0.117897419
0.129123258,0.057052303,0.103572247,0.152145616
0.155353825,0.172860451,0.208008114,0.11140463
0.301264058,0.236794705,0.230873102,0.108384321
0.209327839,0.245527592,0.182238444,0.109157661
0.179114491,0.142796496,0.20113601,0.18525069
0.303320646,0.147947457,0.1820955,0.246692922
0.2537422,0.120973645,0.260386758,0.16501864
0.239384568,0.181623889,0.234860239,0.080145498
0.197080917,0.07602397,0.15028644,0.081868073
0.193901968,0.103571568,0.245863948,0.096035342
0.134182783,0.158250265,0.164852335,0.182363579
0.059738122,0.144944781,0.195148865,0.198418639
0.06948297,0.12401085,0.093893656,0.195233691
0.128901028,0.047849584,0.226263335,0.155921658
0.071396875,0.10955824,0.273609466,0.152865351
0.259699258,0.238824837,0.260848564,0.127099308
0.123145487,0.168291774,0.164244873,0.140989065
0.125682595,0.183517222,0.251693529,0.140024946
0.146222863,0.145779611,0.213265581,0.087968755
0.126873088,0.117451475,0.044314217,0.116733324
0.0534212,0.102087889,0.152965483,0.148539023
0.180985964,0.059685399,0.237996985,0.118731597
0.212819136,0.218819883,0.150751693,0.226927089
0.173867651,0.15977633,0.146825993,0.22895032
0.068967447,0.203089057,0.252004275,0.206139409
0.227850533,0.257329626,0.215577263,0.195433671
0.215338973,0.201551445,0.188284602,0.162635365
0.117746843,0.230572527,0.22077577,0.185876599
0.042026281,0.05446642,0.081719065,0.135074683
0.164654555,0.187434913,0.19328913,0.130265323
0.150765041,0.101021171,0.209891318,0.214501107
0.106477143,0.21170547,0.255836025,0.249905219
0.123684458,0.057789198,0.184498026,0.131840872
0.088920154,0.194117717,0.12809821,0.100200366
0.180810783,0.222919877,0.088198941,0.222581077
0.115238166,0.202987942,0.212737214,0.147220122
0.17557964,0.130549192,0.205666311,0.162265988
0.234586343,0.261049899,0.112377678,0.083639959
0.136912814,0.202486598,0.090350391,0.064800915
