A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_k2,A1_log10_k2_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_k2,FUS_log10_k2_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_k2,EWSR1_log10_k2_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_k2,TIA1_log10_k2_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_k2,fh_0.02_log10_k2_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_k2,fh_0.14_log10_k2_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_k2,fh_0.22_log10_k2_err
-2.442729884,0.000568377,-0.440409615,0.017836866334050405,-2.459482416,0.000542495,-0.469096278,0.018366166397580343,-2.487309999,0.000527011,-0.443939759,0.017793546482772912,-2.458259041,0.00046702,-0.426017906,0.015460164405193313,-2.28064139,0.000718744,-0.452598507,0.023328727,-2.374282542,0.000737006,-0.508074568,0.022976181,-2.419499341,0.000654638,-0.520877801,0.026255499
-2.413572746,0.000611456,-0.437414745,0.017464267081599868,-2.429986528,0.000568766,-0.455750195,0.015493587122063564,-2.46179058,0.000506945,-0.484186565,0.017181285683471822,-2.430757591,0.000598694,-0.422140824,0.015738395552844443,-2.253260509,0.000776347,-0.464465232,0.021315691572474517,-2.346299076,0.000640453,-0.507257119,0.023001130265574363,-2.396864362,0.000563503,-0.470842789,0.026525336314012552
-2.383599575,0.000549638,-0.44000305,0.018461467,-2.403408784,0.000533459,-0.472953559,0.017523489026625115,-2.435946965,0.000498503,-0.472196897,0.015439400299769932,-2.403132893,0.000503483,-0.418826005,0.017629331074299842,-2.222474294,0.000836315,-0.468116077,0.023754763320875876,-2.319663907,0.000740353,-0.464057452,0.020247142,-2.371686544,0.000714478,-0.467417026,0.025867486304254606
-2.358908056,0.000460737,-0.456412217,0.018723655380223678,-2.378291188,0.000442044,-0.470850276,0.016832459,-2.412515815,0.000470137,-0.500874637,0.017762131,-2.376340869,0.000523719,-0.434867318,0.017161223286939614,-2.192203327,0.000846767,-0.455708806,0.022780925,-2.293912541,0.000674836,-0.459543405,0.021588166776686925,-2.346724123,0.00062554,-0.492185558,0.023988376453943486
-2.33261796,0.000567629,-0.432075455,0.017714041,-2.355241018,0.000450308,-0.466710895,0.017282568813468815,-2.389767123,0.000468707,-0.474600837,0.017799923166922815,-2.348773906,0.000506226,-0.44156919,0.016551460780123213,-2.164311845,0.00065653,-0.454783614,0.023363485713499412,-2.266382383,0.000658689,-0.48874621,0.023563244950577864,-2.325804492,0.000542737,-0.481221735,0.023618377520637453
-2.306324891,0.0004517,-0.410157945,0.017039923139797502,-2.329331235,0.000472994,-0.446875401,0.017990253639703968,-2.366119652,0.000452161,-0.459426526,0.015625744845295476,-2.323773209,0.000491553,-0.451513984,0.016930547018393888,-2.135396591,0.000753825,-0.41566063,0.024805648503202788,-2.243054507,0.000586344,-0.466190814,0.024451581797808746,-2.30155698,0.000643875,-0.500480562,0.023840093324493578
-2.280518043,0.000502925,-0.430010782,0.017783821,-2.305092727,0.000520222,-0.436739274,0.016782175952227717,-2.342811451,0.000467235,-0.458249926,0.017472576897674088,-2.296792105,0.000479791,-0.42577785,0.017074283,-2.107008521,0.000751817,-0.454989088,0.024016785,-2.222564949,0.000512717,-0.47108852,0.023780995048755468,-2.27785066,0.000595825,-0.443056361,0.020330942729704135
-2.255646412,0.000472208,-0.434233126,0.018281793396032146,-2.280819295,0.000505117,-0.437658345,0.016854314,-2.319547202,0.000429635,-0.470957759,0.016933777782425455,-2.27158688,0.000517846,-0.427556421,0.017110260105705724,-2.08036884,0.000666614,-0.417678204,0.022182550545850634,-2.202635932,0.000518056,-0.439761385,0.022308043,-2.255157639,0.000574748,-0.438817431,0.023666884269587626
-2.229839695,0.000511753,-0.416346632,0.017518489925084254,-2.25727426,0.000466926,-0.47386503,0.015927185743793763,-2.297939212,0.000422497,-0.452265697,0.016868262283488613,-2.246701393,0.000498455,-0.405984137,0.016357873023006283,-2.054133153,0.000695753,-0.454005588,0.024119479811955474,-2.18131059,0.000559483,-0.44460157,0.023100162554895387,-2.233623155,0.000521936,-0.478431886,0.022931660651780535
-2.205206527,0.000483539,-0.405027653,0.016411477038541886,-2.235640547,0.000403562,-0.456736654,0.016858739,-2.276618924,0.000418276,-0.451171095,0.015958529575819284,-2.221010896,0.000457768,-0.421294308,0.016615627983375524,-2.031032206,0.000527868,-0.389821991,0.019297410532573923,-2.159873145,0.000632185,-0.453359849,0.019642773834005048,-2.211816196,0.000531833,-0.463156143,0.023384731
