S4Yx30-hub-rcom-normalized,S9Yx15-hub-rcom-normalized,S12Y3x10-hub-rcom-normalized,S24Y6x5-hub-rcom-normalized,S120Y30-hub-rcom-normalized,Sc_S4Yx30-hub-rcom-normalized,SSYx50-hub-rcom-normalized,YSx75-hub-rcom-normalized,Yx150-hub-rcom-normalized,YYSx50-hub-rcom-normalized
0.121020988,0.065597348,0.14350365,0.096767034,0.098428248,0.167002902,0.164604386,0.116756871,0.07025377,0.071398759
0.063481931,0.154091663,0.144808402,0.18104105,0.14774205,0.206276697,0.117753637,0.122202644,0.169552014,0.097536305
0.190629586,0.195839805,0.14353498,0.165260026,0.171763714,0.071582043,0.127125072,0.08515985,0.16958448,0.043261851
0.159781524,0.368446878,0.154264572,0.273977035,0.119094917,0.147928721,0.208177046,0.088876416,0.069622105,0.145807727
0.110373113,0.359739457,0.102156752,0.091571621,0.140305825,0.289114367,0.124181972,0.20930535,0.161139037,0.126160821
0.246947007,0.306663459,0.225339611,0.191333786,0.177471649,0.18221562,0.244154142,0.179878054,0.057726935,0.181296768
0.244559073,0.354264156,0.131202845,0.364912657,0.153510929,0.163282113,0.196560367,0.205053665,0.129191843,0.122095255
0.14494476,0.348510221,0.233584948,0.260099144,0.18741966,0.321666011,0.163213885,0.138164394,0.13164775,0.193293076
0.193273026,0.109397305,0.208656742,0.380403364,0.087849634,0.22943783,0.206001074,0.202613845,0.078494763,0.084462528
0.196127408,0.201197135,0.102853751,0.238286436,0.149976254,0.173176298,0.201549561,0.127012639,0.138994808,0.217582947
0.051760442,0.128472077,0.140961242,0.252066384,0.100225118,0.072269066,0.203382422,0.07944564,0.185423209,0.172586477
0.07316766,0.286434898,0.129764946,0.156898937,0.095658096,0.279153081,0.250393209,0.144750803,0.039625423,0.281492457
0.114599072,0.200630325,0.1532064,0.208630519,0.231998843,0.223297123,0.273152301,0.063371708,0.087391853,0.286196932
0.110702926,0.164671541,0.248126184,0.320051682,0.118773277,0.190011332,0.278442497,0.122609334,0.112885839,0.074077902
0.116980218,0.131187982,0.223759218,0.158667944,0.236033642,0.179353343,0.286694522,0.125415713,0.061772965,0.271096663
0.162055366,0.205179767,0.238507011,0.285390774,0.276482858,0.168072001,0.25321292,0.114466351,0.23817901,0.256080511
0.180121092,0.150485408,0.099698955,0.178727816,0.199272534,0.184622931,0.179715508,0.199228088,0.182948467,0.151790849
0.082377324,0.338734942,0.219623847,0.154989178,0.104174595,0.161304912,0.116724815,0.059997412,0.101210943,0.168113942
0.144542223,0.344362865,0.16304352,0.372676863,0.166325014,0.157724219,0.116518343,0.19528965,0.189775174,0.127523699
0.17397586,0.410212736,0.181301355,0.233659041,0.161777788,0.263583331,0.184892864,0.133784203,0.226919712,0.24528444
