S4Yx30-clique-timefreq-normalized,S9Yx15-clique-timefreq-normalized,S12Y3x10-clique-timefreq-normalized,S24Y6x5-clique-timefreq-normalized,S120Y30-clique-timefreq-normalized,Sc_S4Yx30-clique-timefreq-normalized,SSYx50-clique-timefreq-normalized,YSx75-clique-timefreq-normalized,Yx150-clique-timefreq-normalized,YYSx50-clique-timefreq-normalized
0.25,0.04,0.055,0.32,0.115,0.16,0.095,0.08,0.06,0.235
0.085,0.075,0.015,0.21,0.185,0.17,0.1,0.08,0,0.11
0.185,0.115,0.055,0.02,0.345,0.175,0.17,0.075,0.045,0.2
0.035,0.045,0.03,0.385,0.355,0.145,0.08,0.14,0.085,0.175
0.07,0.095,0.065,0.2,0.015,0.055,0.23,0.185,0.155,0.135
0.14,0.07,0.07,0.18,0.355,0.075,0.075,0.13,0.045,0.145
0.105,0.08,0.08,0.075,0.47,0.15,0.055,0.06,0.16,0.135
0.18,0.1,0.05,0.105,0.395,0.13,0.1,0.255,0.075,0.095
0.2,0.08,0.075,0.145,0.01,0.215,0.155,0.12,0.13,0.065
0.125,0.135,0.065,0.325,0.065,0.16,0.085,0.11,0.14,0.145
0.175,0.07,0.115,0.115,0,0.155,0.125,0.07,0.07,0.17
0.11,0.11,0.075,0.165,0.185,0.22,0.16,0.145,0.11,0.19
0.06,0.11,0.12,0.205,0.475,0.12,0.145,0.16,0.135,0.055
0.055,0.185,0.14,0.075,0.42,0.12,0.095,0.115,0.15,0.045
0.16,0.14,0.09,0.21,0.15,0.135,0.13,0.25,0.08,0.1
0.17,0.13,0.055,0.285,0.04,0.12,0.04,0.2,0.03,0.16
0.17,0.195,0.11,0.285,0.03,0.165,0.165,0.125,0.205,0.245
0.105,0.075,0.135,0.215,0.45,0.195,0.24,0.15,0.175,0.15
0.18,0.185,0.065,0.12,0.295,0.14,0.16,0.125,0.13,0.115
0.155,0.02,0.085,0.26,0.545,0.12,0.11,0.165,0.24,0.11
0.105,0.085,0.105,0.135,0.615,0.125,0.175,0.1,0.16,0.27
0.085,0.08,0.105,0.27,0.11,0.195,0.125,0.22,0.2,0.145
0.155,0.15,0.165,0.175,0.11,0.115,0.05,0.225,0.215,0.06
0.19,0.045,0.095,0.14,0.025,0.17,0.125,0.11,0.135,0.16
0.085,0.12,0.14,0.11,0.28,0.135,0.15,0.135,0.19,0.2
0.11,0.155,0.065,0.04,0.32,0.195,0.135,0.135,0.16,0.11
0.165,0.145,0.07,0.13,0.37,0.215,0.225,0.175,0.1,0.02
0.06,0.14,0.11,0.305,0.08,0.2,0.165,0.1,0.205,0.22
0.05,0.14,0.18,0.49,0.015,0.215,0.065,0.135,0.145,0.135
0.075,0.125,0.165,0.275,0,0.165,0.165,0.065,0.205,0.095
0.275,0.125,0.055,0.145,0.125,0.16,0.135,0.22,0.14,0.16
0.18,0.09,0.065,0.075,0.375,0.145,0.02,0.24,0.11,0.075
0.19,0.105,0.175,0.2,0.155,0.215,0.21,0.04,0.065,0.14
0.195,0.135,0.14,0.22,0.365,0.115,0.09,0.09,0.075,0.02
0.145,0.145,0.12,0.12,0.375,0.17,0.245,0.155,0.22,0.15
0.285,0.135,0.075,0.195,0.08,0.09,0.13,0.2,0.16,0.25
0.19,0.11,0.13,0.355,0.155,0.095,0.115,0.075,0.14,0.205
0.25,0.115,0.13,0.045,0.25,0.11,0.055,0.12,0.245,0.115
0.27,0.17,0.14,0.16,0.595,0.205,0.09,0.115,0.105,0.18
0.045,0.165,0.19,0.415,0,0.165,0.105,0.13,0.145,0.09
0.12,0.125,0.17,0.24,0.015,0.16,0.18,0.09,0.065,0.04
0.185,0.165,0.07,0,0.1,0.105,0.22,0.175,0.155,0.19
0.21,0.07,0.11,0.115,0.12,0.135,0.18,0.195,0.13,0.26
0.05,0.27,0.14,0.235,0.215,0.18,0.2,0.205,0.245,0.19
0.125,0.18,0.155,0.295,0.595,0.09,0.17,0.085,0.23,0.28
0.22,0.345,0.18,0.22,0.39,0.11,0.175,0.115,0.145,0.14
0.25,0.08,0.135,0.205,0.025,0.135,0.255,0.095,0.035,0.195
0.155,0.135,0.225,0.13,0.435,0.19,0.165,0.175,0.245,0.095
0.245,0.105,0.18,0.355,0.5,0.145,0.15,0.17,0.165,0.115
0.185,0.005,0.15,0.3,0.04,0.165,0.165,0.09,0.045,0.125
0.185,0.205,0.19,0.325,0.685,0.15,0.105,0.11,0.225,0.11
0.19,0.195,0.12,0.125,0.095,0.095,0.085,0.07,0.13,0.13
0.045,0.08,0.145,0.17,0,0.14,0.105,0.205,0.195,0.025
0.16,0.195,0.185,0.37,0.13,0.13,0.11,0.16,0.16,0.185
0.155,0.165,0.23,0.29,0.01,0.1,0.165,0.225,0.22,0.125
0.2,0.155,0.205,0.31,0.39,0.13,0.16,0.155,0.185,0.235
0.1,0.035,0.2,0.195,0.345,0.16,0.05,0.07,0.28,0.105
0.25,0.23,0.29,0.175,0.075,0.145,0.18,0.1,0.18,0.125
0.03,0.13,0.155,0.325,0.075,0.175,0.155,0.2,0.18,0.105
0.135,0.08,0.155,0.33,0.43,0.11,0.24,0.225,0.015,0.06
0.13,0.215,0.205,0.24,0.135,0.165,0.14,0.24,0.17,0.135
0.19,0.205,0.12,0.165,0.165,0.07,0.17,0.165,0.155,0.2
0.03,0.18,0.11,0.155,0.015,0.22,0.2,0.19,0.15,0.095
0.09,0.15,0.235,0.39,0.09,0.115,0.155,0.225,0.18,0.205
0.155,0.18,0.155,0.255,0,0.13,0.2,0.065,0.255,0.11
0.1,0.235,0.21,0.28,0,0.18,0.195,0.17,0.22,0.285
0.145,0.095,0.19,0.325,0.24,0.085,0.125,0.065,0.12,0.13
0.14,0.17,0.165,0.275,0.135,0.07,0.14,0.06,0.155,0.22
0.14,0.135,0.27,0.14,0.455,0.135,0.12,0.2,0.125,0.12
0.115,0.19,0.085,0.31,0.055,0.115,0.205,0.1,0.105,0.285
0.27,0.14,0.19,0,0.43,0.2,0.11,0.265,0.185,0.165
0.095,0.17,0.23,0.325,0.03,0.165,0.19,0.04,0.26,0.02
0.195,0.11,0.14,0.415,0.485,0.19,0.09,0.185,0.165,0.09
0.165,0.08,0.185,0.19,0.15,0.19,0.2,0.165,0.085,0.1
0.04,0.29,0.2,0.25,0.16,0.255,0.24,0.175,0.17,0.03
0.22,0.22,0.22,0.26,0.135,0.215,0.18,0.22,0.165,0.14
0.115,0.145,0.185,0.255,0.27,0.135,0.155,0.065,0.17,0.065
0.035,0.165,0.185,0.22,0.195,0.165,0.005,0.17,0.18,0.19
0.145,0.1,0.28,0.375,0.11,0.2,0.21,0.1,0.175,0.09
0.16,0.235,0.28,0.13,0.055,0.205,0.08,0.155,0.095,0.1
0.155,0.195,0.245,0.24,0.59,0.19,0.18,0.09,0.065,0.065
0.15,0.16,0.19,0.145,0.465,0.135,0.055,0.18,0.165,0.17
0.225,0.185,0.305,0.215,0.485,0.165,0.21,0.115,0.165,0.16
0.115,0.17,0.105,0.17,0.35,0.13,0.225,0.22,0.195,0.18
0.155,0.22,0.305,0.19,0.11,0.23,0.155,0.085,0.14,0.085
0.16,0.21,0.04,0.18,0.19,0.185,0.17,0.165,0.1,0.06
0.07,0.235,0.215,0.26,0.385,0.175,0.17,0.1,0.09,0.17
0.21,0.135,0.21,0.195,0.09,0.245,0.175,0.12,0.17,0.135
0.14,0.1,0.19,0.3,0.465,0.19,0.155,0.185,0.215,0.155
0.21,0.085,0.04,0.24,0.675,0.22,0.26,0.26,0.11,0.16
0.165,0.065,0.235,0.17,0.065,0.155,0.22,0.125,0.22,0.12
0.015,0.285,0.12,0.165,0.035,0.165,0.1,0.18,0.2,0.055
0.16,0.255,0.21,0.23,0.02,0.135,0.115,0.175,0.185,0.06
0.14,0.21,0.095,0.295,0.065,0.16,0.125,0.11,0.155,0.25
0.27,0.105,0.175,0.245,0.105,0.21,0.18,0.105,0.165,0.2
0.165,0.345,0.155,0.24,0.54,0.195,0.2,0.195,0.14,0.115
0.235,0.145,0.08,0.13,0.4,0.275,0.125,0.135,0.13,0.205
0.125,0.305,0.145,0.23,0.38,0.145,0.065,0.245,0.105,0.245
0.2,0.165,0.12,0.1,0.36,0.17,0.1,0.19,0.185,0.155
0.025,0.195,0.215,0.065,0.025,0.18,0.195,0.12,0.165,0.145
0.095,0.225,0.2,0.11,0.14,0.185,0.285,0.15,0.17,0.16
0.155,0.17,0.185,0.16,0.6,0.105,0.24,0.215,0.275,0.155
0.245,0.19,0.185,0.42,0.565,0.22,0.16,0.13,0.27,0.255
0.175,0.27,0.24,0.24,0.375,0.22,0.21,0.085,0.21,0.095
0.04,0.135,0.14,0.225,0.135,0.22,0.215,0.115,0.15,0.135
0.02,0.085,0.17,0.27,0.53,0.235,0.115,0.205,0.09,0.165
0.15,0.15,0.24,0.245,0.295,0.23,0.115,0.18,0.255,0.14
0.21,0.2,0.31,0.145,0.34,0.125,0.13,0.14,0.19,0.025
