S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-rg-angstrom,S4Yx30-rg-error-angstrom,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-rg-angstrom,S9Yx15-rg-error-angstrom,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-rg-angstrom,S12Y3x10-rg-error-angstrom,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-rg-angstrom,S24Y6x5-rg-error-angstrom,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-rg-angstrom,S120Y30-rg-error-angstrom,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-rg-angstrom,Sc_S4Yx30-rg-error-angstrom,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-rg-angstrom,SSYx50-rg-error-angstrom,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-rg-angstrom,YSx75-rg-error-angstrom,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-rg-angstrom,Yx150-rg-error-angstrom,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-rg-angstrom,YYSx50-rg-error-angstrom
0.001075629,1.39E-05,31.72245773,0.486271073,0.001141509,1.11E-05,29.75874516,0.499710572,0.0013122,9.96E-06,30.71589703,0.485745624,0.001237568,5.38E-06,28.91620847,0.414108452,0.001023293,2.56E-06,43.86619879,0.577889557,0.001084265,7.34E-06,29.36210941,0.453386906,0.001216109,9.79E-06,30.03924035,0.444919756,0.001417875,1.22E-05,32.37104865,0.541704823,0.001460944,9.05E-06,36.86150436,0.589598766,0.001570315,1.20E-05,34.46466681,0.514119555
0.001739683,1.34E-05,31.32287104,0.520618638,0.001750507,1.21E-05,30.00331206,0.465707452,0.001886144,1.17E-05,30.11727376,0.451395336,0.001506765,5.85E-06,29.79389136,0.467227109,0.001157316,2.81E-06,43.46369414,0.623287782,0.001519489,9.59E-06,29.94942993,0.461471841,0.001766695,1.24E-05,31.36553509,0.517980497,0.002086534,1.39E-05,31.98467994,0.522222866,0.001978061,1.10E-05,36.20868119,0.553159994,0.00221388,1.28E-05,34.9838511,0.575691241
0.002418773,1.49E-05,30.98057934,0.489763626,0.002349711,1.12E-05,30.57046422,0.480685143,0.002487488,1.14E-05,29.97363511,0.488937801,0.001825222,6.25E-06,29.62593365,0.4458745,0.001301241,2.66E-06,44.29222738,0.661510424,0.001951034,7.87E-06,29.41758861,0.425454976,0.002395637,1.23E-05,30.63376017,0.456508667,0.002826992,1.44E-05,33.01731676,0.487038196,0.002554907,1.07E-05,36.41755709,0.60396934,0.002864477,1.37E-05,33.33358908,0.570837617
0.003172211,1.48E-05,31.13158181,0.464360893,0.003005265,1.42E-05,29.78382569,0.489569332,0.003123062,1.28E-05,29.83679297,0.450771158,0.002154182,6.53E-06,29.74149955,0.427139376,0.001446208,3.22E-06,44.35834256,0.617451,0.002416169,9.61E-06,29.97234595,0.471818709,0.003041246,1.36E-05,32.58298257,0.52276352,0.003470881,1.22E-05,33.15515344,0.547255059,0.003165772,1.25E-05,36.76334529,0.662201443,0.003658952,1.74E-05,33.44621079,0.568262279
0.004010637,1.82E-05,30.75552815,0.521680078,0.003717027,1.58E-05,29.67754519,0.490171397,0.003735739,1.26E-05,30.21976823,0.496919592,0.002510366,7.65E-06,29.78926101,0.441638605,0.001625845,3.74E-06,45.25533017,0.604158004,0.002848873,8.94E-06,30.53527672,0.439064014,0.003762906,1.36E-05,31.85904652,0.527707215,0.004197244,1.54E-05,32.40248046,0.54065811,0.003812527,1.29E-05,36.34469283,0.659129154,0.004531926,1.75E-05,34.67454253,0.587087741
0.004929856,1.77E-05,30.93122837,0.465271975,0.004556379,1.65E-05,30.1236418,0.441921421,0.004430322,1.39E-05,31.02557268,0.514743904,0.002883708,7.90E-06,29.53439846,0.416544347,0.001816388,4.03E-06,44.86790002,0.634058046,0.003354405,1.03E-05,30.58825431,0.451452064,0.004479973,1.46E-05,32.8006253,0.52179905,0.005034071,1.81E-05,33.01361096,0.482077327,0.004538776,1.35E-05,35.93131511,0.621511903,0.00532972,1.48E-05,34.70201055,0.588446946
0.005773622,1.63E-05,30.61720037,0.425023691,0.005415472,1.44E-05,29.90405606,0.508420417,0.00512882,1.41E-05,30.38415521,0.498974214,0.003306314,7.90E-06,31.81398855,0.456453438,0.002024327,4.15E-06,45.74804233,0.60775725,0.003902542,1.14E-05,30.21148665,0.453624489,0.005273514,1.52E-05,31.95566897,0.522125986,0.005833819,1.41E-05,32.25736494,0.540550846,0.005225074,1.47E-05,37.48383842,0.612882526,0.005990514,1.04E-05,34.65045388,0.524279981
0.006405361,8.46E-06,31.51589856,0.507624191,0.006200562,1.53E-05,29.8046408,0.462665262,0.005857671,1.48E-05,31.25524599,0.507755648,0.003732054,9.78E-06,30.65035721,0.458343765,0.002234292,4.12E-06,45.5352071,0.570077888,0.004450659,1.09E-05,30.32358524,0.465388262,0.006031861,1.56E-05,32.28001242,0.444423739,0.006412221,9.77E-06,32.40996026,0.437761778,0.006001708,1.54E-05,37.71192313,0.650983142,0.006566974,1.21E-05,34.55850313,0.561558174
0.006912872,1.33E-05,31.68149152,0.461721589,0.00680028,9.04E-06,30.3180924,0.491451091,0.006562003,1.42E-05,30.80988633,0.465708758,0.004221028,1.02E-05,29.95497113,0.436383588,0.002477525,5.67E-06,45.43519487,0.650269248,0.005064658,1.32E-05,30.38817711,0.464930978,0.006784001,1.19E-05,31.52299545,0.50024155,0.006939383,1.39E-05,32.05577588,0.516734757,0.006694776,1.24E-05,37.08346169,0.553149471,0.007262492,1.50E-05,33.65314303,0.565398323
0.007688509,1.76E-05,31.83856096,0.509498223,0.007366019,1.20E-05,30.54893861,0.472489316,0.00719052,1.09E-05,30.96076832,0.484443692,0.004788722,1.23E-05,31.35049523,0.458962576,0.002774382,5.71E-06,46.16720619,0.634632714,0.005766209,1.46E-05,30.69710996,0.47857269,0.007288512,8.65E-06,31.58585847,0.466714912,0.007732196,1.68E-05,33.16691438,0.545215567,0.007249915,9.20E-06,36.54487761,0.514060869,0.008130194,1.88E-05,34.53127356,0.53575338
