S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-k2,S4Yx30-k2-error,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-k2,S9Yx15-k2-error,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-k2,S12Y3x10-k2-error,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-k2,S24Y6x5-k2-error,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-k2,S120Y30-k2-error,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-k2,Sc_S4Yx30-k2-error,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-k2,SSYx50-k2-error,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-k2,YSx75-k2-error,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-k2,Yx150-k2-error,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-k2,YYSx50-k2-error
0.001497618,1.83E-05,0.236612763,0.036821968,0.001141509,1.11E-05,0.369067627,0.013828279,0.0013122,9.96E-06,0.387650755,0.01299722,0.001237568,5.38E-06,0.307994242,0.012559125,0.001023293,2.56E-06,0.541282561,0.013153416,0.001084265,7.34E-06,0.337187,0.011954198,0.001216109,9.79E-06,0.335428437,0.012411737,0.001417875,1.22E-05,0.372908718,0.013311787,0.001460944,9.05E-06,0.378217167,0.012589087,0.001570315,1.20E-05,0.383157464,0.012717332
0.001884884,3.27E-05,0.283086531,0.041628702,0.001750507,1.21E-05,0.363241353,0.012223215,0.001886144,1.17E-05,0.34527443,0.01219843,0.001506765,5.85E-06,0.315148978,0.011374399,0.001157316,2.81E-06,0.546954378,0.013352203,0.001519489,9.59E-06,0.344288451,0.011979375,0.001766695,1.24E-05,0.359776071,0.013121531,0.002086534,1.39E-05,0.359307564,0.01362646,0.001978061,1.10E-05,0.358888088,0.012624401,0.00221388,1.28E-05,0.382717959,0.012929514
0.002423003,3.72E-05,0.283894503,0.044492121,0.002349711,1.12E-05,0.384429158,0.013221601,0.002487488,1.14E-05,0.344169325,0.012212862,0.001825222,6.25E-06,0.314690204,0.012362088,0.001301241,2.66E-06,0.551029863,0.013889566,0.001951034,7.87E-06,0.345865555,0.011713324,0.002395637,1.23E-05,0.363515284,0.012226914,0.002826992,1.44E-05,0.37892329,0.011807645,0.002554907,1.07E-05,0.373848171,0.01398751,0.002864477,1.37E-05,0.363200592,0.01334312
0.003132389,4.79E-05,0.285020529,0.036878987,0.003005265,1.42E-05,0.377785509,0.012801113,0.003123062,1.28E-05,0.361479826,0.013041954,0.002154182,6.53E-06,0.321219027,0.0123609,0.001446208,3.22E-06,0.566617687,0.013511964,0.002416169,9.61E-06,0.348437579,0.012433121,0.003041246,1.36E-05,0.391163915,0.012485664,0.003470881,1.22E-05,0.382420866,0.013566254,0.003165772,1.25E-05,0.374413994,0.012632927,0.003658952,1.74E-05,0.363185071,0.013491545
0.003836885,3.69E-05,0.222964509,0.035289971,0.003717027,1.58E-05,0.370287545,0.012035232,0.003735739,1.26E-05,0.353949648,0.012286778,0.002510366,7.65E-06,0.318961831,0.011751188,0.001625845,3.74E-06,0.587966177,0.013096257,0.002848873,8.94E-06,0.338097094,0.012367376,0.003762906,1.36E-05,0.373183076,0.013332312,0.004197244,1.54E-05,0.364582812,0.013799086,0.003812527,1.29E-05,0.363997761,0.013316436,0.004531926,1.75E-05,0.378472309,0.012785319
0.004481424,4.70E-05,0.293997744,0.035244694,0.004556379,1.65E-05,0.37728583,0.012887972,0.004430322,1.39E-05,0.369205865,0.013361131,0.002883708,7.90E-06,0.311823463,0.011021943,0.001816388,4.03E-06,0.567184595,0.01318685,0.003354405,1.03E-05,0.347973868,0.012200863,0.004479973,1.46E-05,0.397982669,0.012615624,0.005034071,1.81E-05,0.387269622,0.012197204,0.004538776,1.35E-05,0.348239324,0.012221046,0.00532972,1.48E-05,0.373397249,0.013154499
0.005189001,3.41E-05,0.315081296,0.039704976,0.005415472,1.44E-05,0.34814512,0.012195593,0.00512882,1.41E-05,0.367333116,0.013103875,0.003306314,7.90E-06,0.360075135,0.012863055,0.002024327,4.15E-06,0.589199899,0.012373289,0.003902542,1.14E-05,0.353982217,0.012315419,0.005273514,1.52E-05,0.371024861,0.012789707,0.005833819,1.41E-05,0.367697702,0.013077422,0.005225074,1.47E-05,0.383549974,0.01380944,0.005990514,1.04E-05,0.392610953,0.012837171
0.00605281,5.09E-05,0.329809967,0.039694399,0.006200562,1.53E-05,0.352752158,0.012485122,0.005857671,1.48E-05,0.383572504,0.013504713,0.003732054,9.78E-06,0.329319092,0.012315647,0.002234292,4.12E-06,0.584373447,0.011485096,0.004450659,1.09E-05,0.347869766,0.012304006,0.006031861,1.56E-05,0.381259531,0.012319297,0.006412221,9.77E-06,0.384685314,0.012293877,0.006001708,1.54E-05,0.378741409,0.012290636,0.006566974,1.21E-05,0.382435719,0.012628262
0.006731899,4.73E-05,0.351291316,0.047971579,0.00680028,9.04E-06,0.378542319,0.01328085,0.006562003,1.42E-05,0.373903122,0.012829049,0.004221028,1.02E-05,0.329876053,0.012186529,0.002477525,5.67E-06,0.587111914,0.012790326,0.005064658,1.32E-05,0.352120761,0.012454071,0.006784001,1.19E-05,0.368694389,0.013193242,0.006939383,1.39E-05,0.353219482,0.012448058,0.006694776,1.24E-05,0.378263741,0.012362814,0.007262492,1.50E-05,0.350913701,0.012720101
0.007532076,3.40E-05,0.333967566,0.048445865,0.007366019,1.20E-05,0.379101162,0.012878807,0.00719052,1.09E-05,0.383206033,0.012833434,0.004788722,1.23E-05,0.362431127,0.012156024,0.002774382,5.71E-06,0.594303231,0.012293241,0.005766209,1.46E-05,0.363841567,0.012575866,0.007288512,8.65E-06,0.373267006,0.012086779,0.007732196,1.68E-05,0.369304956,0.01322388,0.007249915,9.20E-06,0.366396586,0.011439826,0.008130194,1.88E-05,0.388993449,0.013548828
0.008059043,3.42E-05,0.280710745,0.033668398,0.008108405,1.71E-05,0.383473438,0.012851922,0.007725773,1.03E-05,0.360607514,0.012320278,0.005432235,1.25E-05,0.344162128,0.012210021,0.003071456,6.20E-06,0.579514009,0.01375875,0.006505561,1.40E-05,0.365667121,0.011965563,0.007832612,1.33E-05,0.398332066,0.013953536,0.008584376,1.84E-05,0.35545517,0.01324905,0.007807494,1.22E-05,0.373887159,0.012732783,0.009154593,1.96E-05,0.378302009,0.013367005
0.008739989,4.65E-05,0.403133235,0.042954714,0.008966854,1.61E-05,0.368458938,0.012412875,0.008346359,1.37E-05,0.375398514,0.011953771,0.006161298,1.42E-05,0.359178955,0.013487171,0.003371175,5.41E-06,0.5946117,0.012437365,0.007176189,1.43E-05,0.356092951,0.012778421,0.008614377,1.81E-05,0.390686634,0.013442168,0.009605631,2.02E-05,0.380218821,0.013476941,0.008458217,1.35E-05,0.383251509,0.012675893,0.01021041,2.31E-05,0.38653537,0.013504437
0.009382976,4.09E-05,0.365206153,0.045275432,0.009848486,1.77E-05,0.37838558,0.012687194,0.009097031,1.69E-05,0.379442525,0.013089914,0.006862751,1.52E-05,0.377693601,0.012377948,0.003665311,6.08E-06,0.587217762,0.01241115,0.007908437,1.49E-05,0.354287613,0.012323079,0.009575706,1.92E-05,0.366136315,0.012338717,0.010623939,2.13E-05,0.382373308,0.013046961,0.009179206,1.47E-05,0.360074905,0.012735669,0.011407743,2.26E-05,0.392500191,0.013726478
0.010140412,3.96E-05,0.254181235,0.039213387,0.010860508,2.26E-05,0.370887902,0.013278314,0.009927069,1.71E-05,0.366843134,0.012518828,0.007640121,1.60E-05,0.359176551,0.012071803,0.004017819,7.37E-06,0.585783616,0.013241203,0.008555629,1.05E-05,0.362842829,0.012951805,0.010553267,2.16E-05,0.378691686,0.012133642,0.011707715,1.98E-05,0.379805016,0.013232503,0.010016575,1.78E-05,0.370387853,0.013201348,0.012487943,2.23E-05,0.41280969,0.012428485
0.010722302,5.47E-05,0.240257386,0.040780471,0.012034866,2.21E-05,0.365499685,0.01136032,0.010888528,2.04E-05,0.388313806,0.012356582,0.008518595,1.94E-05,0.366563099,0.013148358,0.004423937,8.55E-06,0.601745375,0.013417721,0.009206118,1.55E-05,0.363128056,0.01277559,0.011596956,2.03E-05,0.382204824,0.013208291,0.012712013,1.89E-05,0.375335731,0.0123576,0.010941443,1.87E-05,0.395549511,0.013906765,0.013784868,2.65E-05,0.400476959,0.012353383
0.011504942,4.44E-05,0.238156803,0.039065707,0.013094145,1.93E-05,0.373005127,0.01301341,0.011930274,2.08E-05,0.387611783,0.012321037,0.009587229,2.15E-05,0.347635929,0.012701404,0.004852801,8.84E-06,0.606232809,0.012930084,0.010069445,1.63E-05,0.360003373,0.011987432,0.012591887,1.86E-05,0.401552199,0.013261696,0.013773609,2.35E-05,0.387992134,0.012531365,0.011954984,2.11E-05,0.389830155,0.012880193,0.015311933,3.15E-05,0.398614225,0.013141087
0.012120194,3.84E-05,0.346990378,0.052526258,0.014138542,2.30E-05,0.367486405,0.012500459,0.013088375,2.31E-05,0.387730446,0.012879095,0.010689106,2.22E-05,0.351819339,0.01256208,0.005306491,9.53E-06,0.592155187,0.012058402,0.010978878,1.99E-05,0.367582213,0.012397825,0.013586155,2.05E-05,0.371743577,0.012878958,0.015146729,2.95E-05,0.386536211,0.012613088,0.012939602,2.03E-05,0.395258541,0.012683258,0.016958988,3.25E-05,0.405972682,0.013412281
0.012894989,5.78E-05,0.226328011,0.03817313,0.015255552,2.20E-05,0.390529124,0.012540469,0.014242131,2.37E-05,0.393400172,0.013277427,0.011995622,2.64E-05,0.35785682,0.012554292,0.005798129,1.05E-05,0.590718817,0.012525817,0.011916203,1.85E-05,0.351040775,0.012721768,0.014654526,1.99E-05,0.376852018,0.012639209,0.016654003,3.20E-05,0.385171409,0.012516257,0.014002221,1.86E-05,0.369425046,0.012638651,0.018564429,3.44E-05,0.401465889,0.012726466
0.013869639,7.90E-05,0.342241187,0.044367134,0.016558486,2.84E-05,0.369425179,0.01327344,0.015438451,2.15E-05,0.399237335,0.013245558,0.01351411,3.25E-05,0.36240446,0.012465919,0.006363541,1.13E-05,0.594066668,0.013297894,0.012916023,2.05E-05,0.367341303,0.012359507,0.015731055,2.42E-05,0.400281348,0.013610453,0.018356291,3.20E-05,0.373838134,0.012716777,0.014999991,2.25E-05,0.400654697,0.013257025,0.020419482,4.16E-05,0.399661786,0.012697604
0.014937693,4.62E-05,0.346430199,0.047845382,0.018067989,2.96E-05,0.37661104,0.013060001,0.016663063,2.57E-05,0.415521763,0.013112087,0.015314834,3.58E-05,0.368487757,0.013015999,0.007036312,1.32E-05,0.594522016,0.013851168,0.013978252,2.03E-05,0.372052608,0.013312917,0.017007463,2.70E-05,0.387194383,0.013723192,0.020148618,3.79E-05,0.366987746,0.012971357,0.016283778,2.64E-05,0.388287919,0.013287509,0.023095184,5.68E-05,0.383209036,0.01297749
0.016135397,8.22E-05,0.354469949,0.032185257,0.019616316,3.07E-05,0.395309342,0.013466243,0.018107729,3.17E-05,0.397284567,0.013616591,0.017406734,4.73E-05,0.381411443,0.013612899,0.007767943,1.61E-05,0.573102851,0.014630478,0.015019109,1.99E-05,0.373824703,0.012023529,0.018496838,3.31E-05,0.380151846,0.012551038,0.022170319,3.80E-05,0.396198573,0.012967445,0.017606576,2.71E-05,0.400304812,0.013532747,0.026012137,5.84E-05,0.39138622,0.013509283
0.017512472,7.64E-05,0.312500282,0.036501426,0.021202826,3.67E-05,0.394619818,0.014222136,0.019705942,3.06E-05,0.376437536,0.013181032,0.020048529,5.99E-05,0.382859719,0.013394205,0.008691601,1.83E-05,0.596967893,0.013687394,0.016101523,2.37E-05,0.378557687,0.013457202,0.020319452,3.44E-05,0.394954016,0.01220787,0.024542708,5.65E-05,0.416531505,0.014512185,0.019008273,2.97E-05,0.379792793,0.013071657,0.029225646,7.48E-05,0.404425509,0.012685647
