S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-displacement-angstrom,S4Yx30-displacement-error-angstrom,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-displacement-angstrom,S9Yx15-displacement-error-angstrom,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-displacement-angstrom,S12Y3x10-displacement-error-angstrom,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-displacement-angstrom,S24Y6x5-displacement-error-angstrom,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-displacement-angstrom,S120Y30-displacement-error-angstrom,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-displacement-angstrom,Sc_S4Yx30-displacement-error-angstrom,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-displacement-angstrom,SSYx50-displacement-error-angstrom,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-displacement-angstrom,YSx75-displacement-error-angstrom,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-displacement-angstrom,Yx150-displacement-error-angstrom,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-displacement-angstrom,YYSx50-displacement-error-angstrom
0.001075629,1.39E-05,26.53099898,0.671219466,0.001141509,1.11E-05,25.0039494,0.610383496,0.0013122,9.96E-06,27.62335149,0.641805237,0.001237568,5.38E-06,20.21604072,1.070143515,0.001023293,2.56E-06,18.98811684,0.469391297,0.001084265,7.34E-06,24.6410661,0.640556938,0.001216109,9.79E-06,27.09048208,0.689808402,0.001417875,1.22E-05,30.51556426,0.857575256,0.001460944,9.05E-06,32.89352558,0.882467286,0.001570315,1.20E-05,32.19177797,0.883018011
0.001739683,1.34E-05,25.89964052,0.623545818,0.001750507,1.21E-05,24.36471589,0.605612788,0.001886144,1.17E-05,26.9570329,0.692966223,0.001506765,5.85E-06,18.78057078,0.460943547,0.001157316,2.81E-06,19.36412544,0.50116361,0.001519489,9.59E-06,23.33238732,0.553167621,0.001766695,1.24E-05,27.1758152,0.675168943,0.002086534,1.39E-05,29.27282422,0.678449788,0.001978061,1.10E-05,31.88444473,0.869471783,0.00221388,1.28E-05,31.01386313,0.844469218
0.002418773,1.49E-05,26.41615191,0.696022466,0.002349711,1.12E-05,23.13143923,0.551786118,0.002487488,1.14E-05,25.93827347,0.617812744,0.001825222,6.25E-06,18.97231554,0.428145781,0.001301241,2.66E-06,18.82314409,0.441740439,0.001951034,7.87E-06,23.66420509,0.622340635,0.002395637,1.23E-05,27.79057803,0.742472244,0.002826992,1.44E-05,29.43906889,0.83057703,0.002554907,1.07E-05,31.73663536,0.76763412,0.002864477,1.37E-05,31.81165004,0.770449856
0.003172211,1.48E-05,25.86491501,0.712491363,0.003005265,1.42E-05,23.371191,0.592419922,0.003123062,1.28E-05,25.77478255,0.646973667,0.002154182,6.53E-06,21.51837139,1.452114208,0.001446208,3.22E-06,19.61039129,0.493912583,0.002416169,9.61E-06,22.84975103,0.555781078,0.003041246,1.36E-05,26.82651463,0.716438474,0.003470881,1.22E-05,28.50367526,0.779013789,0.003165772,1.25E-05,32.26254095,0.822099709,0.003658952,1.74E-05,30.57922673,0.783835498
0.004010637,1.82E-05,25.38524534,0.630835024,0.003717027,1.58E-05,24.81962962,0.567239054,0.003735739,1.26E-05,25.93476051,0.56424571,0.002510366,7.65E-06,19.45306844,0.65893155,0.001625845,3.74E-06,18.97698,0.489956303,0.002848873,8.94E-06,22.14179151,0.514669692,0.003762906,1.36E-05,26.19869316,0.595903609,0.004197244,1.54E-05,29.73463619,0.684389705,0.003812527,1.29E-05,30.29517614,0.790034534,0.004531926,1.75E-05,31.24259247,0.855431386
0.004929856,1.77E-05,25.06524906,0.644261831,0.004556379,1.65E-05,22.7018799,0.536938963,0.004430322,1.39E-05,25.6485,0.660503507,0.002883708,7.90E-06,19.36660812,0.490673406,0.001816388,4.03E-06,18.87496558,0.4524021,0.003354405,1.03E-05,22.64336944,0.532924719,0.004479973,1.46E-05,26.30533353,0.61979459,0.005034071,1.81E-05,27.63137562,0.639491296,0.004538776,1.35E-05,29.01989088,0.791419191,0.00532972,1.48E-05,31.97014692,0.912153793
0.005773622,1.63E-05,26.31868696,0.712619356,0.005415472,1.44E-05,21.79071779,0.56078185,0.00512882,1.41E-05,25.82229967,0.6260338,0.003306314,7.90E-06,18.91635002,0.451806137,0.002024327,4.15E-06,18.72557662,0.459506718,0.003902542,1.14E-05,22.80494094,0.53737316,0.005273514,1.52E-05,26.38914007,0.709594067,0.005833819,1.41E-05,29.49358648,0.764744268,0.005225074,1.47E-05,30.35731621,0.763336244,0.005990514,1.04E-05,32.6923388,0.954605485
0.006405361,8.46E-06,28.67489678,0.76128734,0.006200562,1.53E-05,22.6865337,0.558470817,0.005857671,1.48E-05,24.57742104,0.599494917,0.003732054,9.78E-06,18.07212315,0.451689527,0.002234292,4.12E-06,18.29639074,0.474312571,0.004450659,1.09E-05,21.79336159,0.553348964,0.006031861,1.56E-05,26.01958051,0.683328466,0.006412221,9.77E-06,33.23462886,1.007676875,0.006001708,1.54E-05,29.83011505,0.760707477,0.006566974,1.21E-05,34.26635558,0.983557212
0.006912872,1.33E-05,27.3680242,0.696542251,0.00680028,9.04E-06,24.71007786,0.721407594,0.006562003,1.42E-05,24.58659022,0.68635708,0.004221028,1.02E-05,19.13537225,0.510000084,0.002477525,5.67E-06,19.51814562,0.470654491,0.005064658,1.32E-05,22.72209648,0.519414602,0.006784001,1.19E-05,27.44702641,0.727115629,0.006939383,1.39E-05,30.77217464,0.840311046,0.006694776,1.24E-05,30.7148846,0.79027164,0.007262492,1.50E-05,30.56855156,0.771218017
0.007688509,1.76E-05,24.90402826,0.627486061,0.007366019,1.20E-05,24.54774467,0.651169042,0.00719052,1.09E-05,27.57875512,0.699576934,0.004788722,1.23E-05,18.46394829,0.455274939,0.002774382,5.71E-06,18.97020241,0.448107528,0.005766209,1.46E-05,22.23800695,0.553353081,0.007288512,8.65E-06,28.92556573,0.762741875,0.007732196,1.68E-05,27.66627625,0.611858487,0.007249915,9.20E-06,34.46536753,0.966162084,0.008130194,1.88E-05,28.42612096,0.655339497
