A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-k2,A1-LCD-k2-error,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-k2,FUS-LCD-k2-error,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-k2,EWSR1-LCD-k2-error,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-k2,TIA1-LCD-k2-error
0.001039332,6.03E-06,0.351474735,0.012831983,0.00133146,7.40E-06,0.344210685,0.012195446,0.001049194,6.11E-06,0.316009251,0.011391714,0.001100516,8.20E-06,0.360692885,0.013146118
0.001393727,8.42E-06,0.352112036,0.011782143,0.001717001,7.80E-06,0.355760761,0.012959453,0.001330447,4.89E-06,0.319541456,0.011960968,0.001525811,9.04E-06,0.364922578,0.012947064
0.001815906,7.97E-06,0.374832512,0.013131148,0.002129435,7.07E-06,0.352360723,0.012530641,0.001600946,5.86E-06,0.333394625,0.013292897,0.001991464,8.62E-06,0.373471453,0.012420568
0.002223573,8.46E-06,0.340781708,0.012113441,0.002480526,7.55E-06,0.343226254,0.01178714,0.001887802,5.40E-06,0.339068535,0.012275677,0.002471368,1.01E-05,0.380384379,0.012715029
0.00263457,9.02E-06,0.357558438,0.012422314,0.002871275,7.95E-06,0.354910895,0.012010467,0.002144737,4.78E-06,0.346820075,0.011745069,0.002940704,9.24E-06,0.40110852,0.013018938
0.003106456,8.39E-06,0.360010979,0.01213668,0.003296236,7.91E-06,0.324548774,0.011184149,0.002418075,5.47E-06,0.332961014,0.011963377,0.003456095,1.04E-05,0.386623791,0.011369071
0.003583424,9.90E-06,0.360593729,0.011797245,0.003674554,7.53E-06,0.352844685,0.012457472,0.002687897,5.57E-06,0.318242967,0.012003745,0.004036278,1.12E-05,0.384307952,0.013708114
0.004016405,7.83E-06,0.366079882,0.012236581,0.004115713,8.53E-06,0.351501205,0.012040653,0.002992927,5.97E-06,0.331068316,0.012016996,0.004599225,1.05E-05,0.384032315,0.01299308
0.004431182,8.63E-06,0.378892646,0.01277028,0.00456859,9.76E-06,0.345805228,0.012500138,0.003326051,6.34E-06,0.330448156,0.011846053,0.005166374,1.19E-05,0.384854297,0.01262021
0.004931237,1.02E-05,0.373976309,0.012076122,0.00504931,9.01E-06,0.375238365,0.012487635,0.003627418,5.62E-06,0.34234319,0.012649002,0.005800104,1.20E-05,0.390004171,0.013006285
0.005456083,9.35E-06,0.375289366,0.012859295,0.005505921,8.21E-06,0.351639575,0.011961443,0.003912336,5.21E-06,0.332141435,0.012449716,0.006396269,1.31E-05,0.369145694,0.011986513
0.005931968,9.43E-06,0.361193377,0.011897448,0.005950121,9.45E-06,0.367560156,0.012873113,0.00420977,6.14E-06,0.357800024,0.012258938,0.007060312,1.28E-05,0.415103278,0.013122533
0.006405447,9.53E-06,0.374467547,0.012551511,0.006441711,9.56E-06,0.396542066,0.013220745,0.004556103,6.62E-06,0.370735567,0.012076933,0.007742934,1.29E-05,0.368475139,0.011665655
0.006877339,9.93E-06,0.378832433,0.012552132,0.006893959,8.57E-06,0.349913493,0.012087242,0.004873366,6.59E-06,0.365087375,0.012334378,0.008391281,1.30E-05,0.395694781,0.012699096
0.007407784,9.88E-06,0.366680559,0.012597906,0.007393449,1.17E-05,0.372517048,0.012966101,0.005208279,6.47E-06,0.331164264,0.011816373,0.009030017,1.19E-05,0.384018363,0.012667145
0.007923352,1.11E-05,0.392771875,0.013079865,0.007999821,1.15E-05,0.339199816,0.012356629,0.005542033,7.03E-06,0.346382214,0.012402657,0.009667149,1.25E-05,0.405935238,0.013044938
0.008503254,1.15E-05,0.373774844,0.011928823,0.008544676,1.10E-05,0.397972765,0.012727,0.005888598,7.04E-06,0.356048059,0.012280664,0.010372412,1.47E-05,0.396917881,0.012425303
0.009074496,1.12E-05,0.345860945,0.011863605,0.009099,9.36E-06,0.362640629,0.013472964,0.006263264,7.27E-06,0.361971728,0.011268878,0.011145305,1.47E-05,0.419839159,0.012905686
0.009638818,1.16E-05,0.383870474,0.012424922,0.009559956,9.45E-06,0.352925071,0.012077611,0.006642804,7.48E-06,0.348666442,0.011798076,0.011905963,1.59E-05,0.397096311,0.011963723
0.0102794,1.26E-05,0.410077889,0.011583351,0.010093918,1.06E-05,0.340917568,0.011513329,0.007031555,8.12E-06,0.379270854,0.011320635,0.012683098,1.54E-05,0.387015923,0.012398096
0.010867689,1.18E-05,0.395287411,0.012314731,0.010668793,1.19E-05,0.392999132,0.012734421,0.007470471,8.95E-06,0.379171632,0.011678103,0.013512681,1.78E-05,0.418936395,0.012902437
0.011578511,1.54E-05,0.366379152,0.011973997,0.011243395,1.16E-05,0.363119411,0.01272028,0.00790292,8.25E-06,0.338971718,0.011710994,0.01445542,1.90E-05,0.406156396,0.01288352
0.012296812,1.36E-05,0.386520958,0.011978465,0.011866366,1.17E-05,0.390704957,0.013072351,0.008332327,8.20E-06,0.374211053,0.011694419,0.015573108,2.47E-05,0.415443819,0.013093986
0.01303489,1.43E-05,0.406562708,0.013756544,0.012541838,1.43E-05,0.372482968,0.01213748,0.008771791,9.31E-06,0.36100701,0.012265335,0.016735452,2.10E-05,0.418664211,0.013518292
0.013769956,1.59E-05,0.403365332,0.013184222,0.013250961,1.40E-05,0.383177185,0.011949649,0.009252359,9.86E-06,0.346404021,0.012148619,0.017805484,2.07E-05,0.390503624,0.013116019
0.014593429,1.68E-05,0.394036325,0.012692908,0.014002975,1.48E-05,0.383181919,0.012528511,0.009752897,1.06E-05,0.38312181,0.012553282,0.018994134,2.32E-05,0.410675213,0.013005828
0.015511107,1.88E-05,0.411082499,0.012790769,0.01479384,1.45E-05,0.387240835,0.012818006,0.010297378,1.06E-05,0.362382951,0.012190816,0.020310412,2.67E-05,0.396054845,0.012438205
0.016391966,1.83E-05,0.408237283,0.013567682,0.015530902,1.42E-05,0.392660463,0.012674474,0.010867136,1.14E-05,0.369611642,0.011879095,0.021805643,2.89E-05,0.424632248,0.013707242
0.017328457,2.05E-05,0.418833877,0.013181112,0.016343937,1.62E-05,0.398008482,0.012727617,0.011437106,1.08E-05,0.379610196,0.012980318,0.023261081,2.90E-05,0.391630745,0.013082217
0.018336518,2.17E-05,0.444972959,0.013132171,0.017256795,1.89E-05,0.422634492,0.012976329,0.012031416,1.10E-05,0.386073049,0.012054402,0.024799683,3.18E-05,0.384886764,0.012401015
0.019474421,2.31E-05,0.404258716,0.012826814,0.018234679,2.01E-05,0.411746866,0.013266108,0.012608889,1.25E-05,0.406149022,0.012714535,0.026400257,3.21E-05,0.402905425,0.013083314
0.020751321,2.70E-05,0.40661743,0.012748938,0.019346857,2.21E-05,0.380604422,0.012408429,0.013294264,1.53E-05,0.369291701,0.011892956,0.028124776,3.29E-05,0.426696059,0.012935714
0.02204031,2.38E-05,0.409282407,0.012927329,0.020442614,2.20E-05,0.391935544,0.012263592,0.014024371,1.41E-05,0.391062324,0.012052475,0.030200006,4.62E-05,0.402333808,0.012572993
0.023439149,2.94E-05,0.414685154,0.013306829,0.021618566,2.76E-05,0.389437285,0.012169464,0.014781658,1.59E-05,0.39277303,0.012368704,0.032431904,4.59E-05,0.414023061,0.012750641
0.025069048,3.55E-05,0.405978553,0.013061345,0.023094524,2.99E-05,0.411170355,0.012154977,0.015647573,1.75E-05,0.38432439,0.011801678,0.035064548,5.39E-05,0.402895964,0.012711639
0.026857755,3.80E-05,0.409093244,0.013204361,0.024555177,3.29E-05,0.408134147,0.01279957,0.016511945,1.73E-05,0.39463422,0.012911081,0.038113058,6.99E-05,0.417220413,0.012997323
0.028873543,4.71E-05,0.433263353,0.012668507,0.026259118,3.58E-05,0.426785515,0.012892214,0.01749053,2.17E-05,0.420593914,0.012116087,0.04173467,7.89E-05,0.412698449,0.013212432
