S4Yx30-norm-cb,S4Yx30-norm-cb-error,S4Yx30-displacement-angstrom,S4Yx30-displacement-error-angstrom,S9Yx15-norm-cb,S9Yx15-norm-cb-error,S9Yx15-displacement-angstrom,S9Yx15-displacement-error-angstrom,S12Y3x10-norm-cb,S12Y3x10-norm-cb-error,S12Y3x10-displacement-angstrom,S12Y3x10-displacement-error-angstrom,S24Y6x5-norm-cb,S24Y6x5-norm-cb-error,S24Y6x5-displacement-angstrom,S24Y6x5-displacement-error-angstrom,S120Y30-norm-cb,S120Y30-norm-cb-error,S120Y30-displacement-angstrom,S120Y30-displacement-error-angstrom,Sc_S4Yx30-norm-cb,Sc_S4Yx30-norm-cb-error,Sc_S4Yx30-displacement-angstrom,Sc_S4Yx30-displacement-error-angstrom,SSYx50-norm-cb,SSYx50-norm-cb-error,SSYx50-displacement-angstrom,SSYx50-displacement-error-angstrom,YSx75-norm-cb,YSx75-norm-cb-error,YSx75-displacement-angstrom,YSx75-displacement-error-angstrom,Yx150-norm-cb,Yx150-norm-cb-error,Yx150-displacement-angstrom,Yx150-displacement-error-angstrom,YYSx50-norm-cb,YYSx50-norm-cb-error,YYSx50-displacement-angstrom,YYSx50-displacement-error-angstrom
0.010483509,1.23E-05,18.06553914,0.462920956,0.009784637,1.16E-05,17.10698762,0.402422079,0.010283068,1.22E-05,19.41144733,0.451096055,0.013505539,2.62E-05,15.90620596,0.401476568,0.007989065,1.62E-05,17.17820423,0.442541009,0.009381961,1.08E-05,18.75478873,0.484208086,0.010108023,1.12E-05,19.69056589,0.504774534,0.010098257,1.15E-05,21.71304423,0.610600552,0.009290608,1.03E-05,24.84276422,0.580899666,0.010413975,1.15E-05,22.9791112,0.627014624
0.011120914,1.26E-05,18.26001884,0.472375232,0.010427045,1.33E-05,17.19719071,0.429738069,0.010912808,1.27E-05,19.88745426,0.480123927,0.014921439,2.73E-05,15.61214536,0.37960548,0.008964787,2.23E-05,17.06102458,0.470802536,0.00997481,1.24E-05,17.05000654,0.380189203,0.010713497,1.26E-05,19.83829973,0.464053947,0.010730215,1.35E-05,21.53596437,0.539788556,0.009829412,1.02E-05,23.46116726,0.558511388,0.011012399,1.22E-05,22.8362079,0.572258901
0.011824227,1.43E-05,18.58442347,0.430113188,0.011056787,1.21E-05,17.48043031,0.404636082,0.011614792,1.43E-05,19.47146316,0.462425932,0.016424389,2.99E-05,15.60453864,0.383150226,0.010091706,2.20E-05,15.97637792,0.433047046,0.010601201,1.27E-05,17.42439731,0.401139303,0.011394655,1.33E-05,19.45002786,0.45909152,0.01137029,1.30E-05,21.05313389,0.514331921,0.01036154,1.01E-05,21.90134489,0.486978235,0.011710649,1.36E-05,22.36703216,0.542590016
0.01255757,1.67E-05,18.50949549,0.401924536,0.011718605,1.32E-05,17.30252348,0.380419261,0.012306041,1.37E-05,20.25491714,0.448861897,0.018182028,3.93E-05,15.31217465,0.396630052,0.01155123,3.50E-05,16.70708868,0.436255891,0.011290934,1.29E-05,17.85097492,0.476940245,0.012070583,1.34E-05,18.78531259,0.458252005,0.01206403,1.40E-05,20.68623563,0.559173833,0.010903949,1.21E-05,22.12870316,0.500537802,0.012458696,1.69E-05,21.7177456,0.525803449
0.013393199,1.69E-05,18.47578837,0.461366689,0.012418178,1.65E-05,16.81344059,0.388922046,0.01309581,1.75E-05,18.91777237,0.418727131,0.020095376,3.65E-05,14.78130357,0.366551738,0.013416395,3.86E-05,16.34238173,0.446854045,0.012029217,1.51E-05,17.58422927,0.416984814,0.012864898,1.59E-05,19.25308378,0.449576206,0.012773698,1.35E-05,19.47126943,0.502419695,0.011519754,1.22E-05,21.93946263,0.525331489,0.0131979,1.51E-05,20.63171223,0.585201447
0.014230963,1.52E-05,18.50595899,0.422340061,0.013164348,1.46E-05,18.04228297,0.436001475,0.013946071,1.59E-05,18.9627242,0.45276474,0.022047231,4.17E-05,15.07104779,0.360975467,0.016005022,6.17E-05,15.38303512,0.450399671,0.012796388,1.52E-05,17.05844052,0.366992549,0.013601651,1.44E-05,18.37014981,0.474133056,0.013465663,1.34E-05,19.35898306,0.47182583,0.012154431,1.30E-05,22.48119845,0.563821196,0.014000608,1.75E-05,21.70557777,0.534326158
0.01504478,1.76E-05,18.54038812,0.503189177,0.01396018,1.69E-05,16.71393343,0.405252701,0.014736136,1.55E-05,18.74995229,0.460342125,0.024404368,4.58E-05,15.12564133,0.365687355,0.019417421,7.90E-05,15.16812991,0.448880661,0.013558679,1.56E-05,17.00705383,0.412845538,0.01437774,1.59E-05,18.9115891,0.43243476,0.014201359,1.52E-05,18.9739539,0.455127454,0.012844422,1.42E-05,22.11681952,0.518898437,0.014853317,1.57E-05,21.51420598,0.620077073
0.015902106,1.66E-05,17.98573241,0.456102398,0.014784943,1.56E-05,16.38038667,0.341423191,0.015606714,1.69E-05,18.70110737,0.447533798,0.027157598,6.42E-05,14.38332705,0.349241973,0.024791845,0.000145846,15.2474473,0.462469277,0.014405441,1.78E-05,17.2603452,0.370814916,0.015213065,1.69E-05,18.03879812,0.411373538,0.01496227,1.68E-05,19.63731149,0.455959452,0.013525983,1.36E-05,20.77749945,0.493450819,0.015763356,1.96E-05,20.48530982,0.428414594
0.016833478,1.86E-05,17.59250331,0.43565094,0.015688907,1.71E-05,16.544394,0.368315167,0.016569528,2.19E-05,18.32191898,0.410100135,0.030323199,6.27E-05,14.82597355,0.342067328,0.035139037,0.000285482,12.976533,0.437991476,0.015313991,1.73E-05,17.5867167,0.384223934,0.016121499,1.78E-05,18.22911857,0.435355635,0.015881683,1.91E-05,20.33249587,0.477333945,0.014225815,1.40E-05,21.19578563,0.473800384,0.016719138,1.88E-05,21.65523833,0.503748243
0.017795142,1.98E-05,17.63180241,0.415530003,0.016626535,1.96E-05,16.71393487,0.395629598,0.017578268,1.82E-05,19.65401608,0.464309859,0.034092041,8.46E-05,14.146633,0.297156481,0.065534413,0.001384827,11.93236655,0.407966918,0.016156861,1.74E-05,17.42665593,0.364664069,0.017078476,1.97E-05,18.02959026,0.448406091,0.016851541,2.06E-05,19.42686407,0.414018281,0.014971311,1.58E-05,21.86768625,0.49652993,0.017644123,1.90E-05,20.73741198,0.557548059
