S4Yx30-hub-displacement-angstrom,S9Yx15-hub-displacement-angstrom,S12Y3x10-hub-displacement-angstrom,S24Y6x5-hub-displacement-angstrom,S120Y30-hub-displacement-angstrom,Sc_S4Yx30-hub-displacement-angstrom,SSYx50-hub-displacement-angstrom,YSx75-hub-displacement-angstrom,Yx150-hub-displacement-angstrom,YYSx50-hub-displacement-angstrom
7.66645717,11.34435648,13.68731442,11.76407857,25.37060854,19.19937739,12.38396498,21.27831089,10.970623,14.84727297
11.53474518,18.53373626,23.75929408,12.27472925,11.43991681,18.15558904,15.2922916,19.10646328,21.54821403,22.36847133
15.89770164,15.58145143,24.38116717,10.11562119,4.78958944,18.91182187,10.39247382,14.28996646,23.68446064,24.05450282
26.09195891,29.14299695,13.33287177,7.463254615,21.78461216,18.18762735,23.46760975,19.09042837,17.41026075,22.64035077
15.19244651,11.8987213,14.27554411,17.8369168,2.934162195,9.494140671,18.82477224,15.72116567,11.05349086,26.21904243
17.538684,4.416050099,12.65310383,8.45676082,8.600481592,10.730406,14.97091839,14.94176112,33.02969661,9.104521005
13.03195799,20.69100368,21.74445082,10.31113718,8.709714409,12.76349151,18.4267205,9.564874506,23.64481057,19.53177078
10.2520467,9.822577135,13.41497573,11.95075781,13.23391847,15.99953943,22.60267737,30.80546112,17.57855642,13.21566883
16.35039042,18.46828972,11.49062039,20.30710434,20.55470987,25.85391392,17.20413064,11.55925701,24.95045013,20.85960318
15.88875591,10.61755544,15.82502595,15.88788214,11.83372092,17.61331066,8.811365296,14.98231037,13.16900949,15.24222579
12.58200445,17.24072446,12.44053891,12.4910514,7.658486415,16.8922766,16.50705087,5.318291448,23.25784605,17.9145918
14.38134426,14.76995029,21.28588528,16.42555396,10.33079465,16.39327419,16.27198611,19.36134427,18.73654241,11.80812869
8.692304561,22.03343862,8.79365619,7.373830003,4.961698378,19.56789295,12.5061648,18.22202006,19.20503435,15.25815934
18.86290158,11.83531239,6.877477965,9.509259514,20.05873369,19.51308326,13.04891101,21.79583645,31.43618322,20.49704034
11.75917191,13.02705911,16.79132123,6.29775739,5.737357587,14.56597426,17.05324559,28.19368855,20.03068334,24.10344249
8.795019842,19.29847779,19.03037724,8.881503582,3.325553773,16.63269769,9.757988282,18.05412552,16.58210287,15.91465366
18.71993311,18.75587944,13.17018631,13.77920406,21.43753166,15.16621498,13.85695287,13.54618731,16.01691217,15.84322862
8.673763191,12.24161939,13.840961,10.49421969,12.06077203,19.11784422,11.33474675,17.81021517,19.85027517,13.73686109
16.00095214,15.28193391,12.12723406,23.97068004,8.827554016,13.11938813,7.701291993,16.68039015,16.19697589,19.07655484
18.6843524,12.16090249,23.42835849,13.72070178,9.783514676,16.22897417,5.767848364,24.70882429,15.73199275,13.33944222
14.9892299,11.43380141,17.01556446,13.10434027,16.55965554,24.34055373,24.13192424,17.44959993,11.21024704,12.40396526
19.86205779,16.72928718,8.923910456,17.67564868,8.797429864,11.46473706,5.576231056,19.04592175,11.78480677,17.78231198
12.20025315,17.59512495,18.39156942,12.43648249,8.804754855,12.32293256,11.1341935,14.88825662,16.9940165,14.56926119
16.94009318,10.40255289,17.48959038,8.782265107,19.15798768,8.666396714,21.81911528,12.81919793,29.88895519,11.0286266
20.08667798,18.98799906,14.09711312,6.082981356,9.568476667,12.3876511,12.16468942,12.56713487,15.06676547,14.36794902
15.72776326,14.40747244,14.94725111,10.4869189,11.09661524,12.51376808,7.679905861,15.60781804,27.04912371,18.18475401
20.44328963,20.30173611,14.43076011,3.973057789,5.650513188,15.60953226,18.47500058,18.24716889,12.7803502,9.117404972
14.36552272,17.02357386,16.00812406,24.0054526,6.352777544,7.835992015,19.04084548,21.13813497,24.38920435,11.20094428
14.28512614,16.26822438,13.72985401,7.35758528,12.09884184,24.6753873,15.54551932,20.238583,11.16559342,15.77115556
9.436293165,9.969617776,34.94650068,18.43134612,14.55920503,11.27867912,17.08965343,20.87657752,22.30738227,14.66947997
10.51690711,13.20315165,10.5316601,19.48031235,24.25617826,11.553524,14.72137668,19.84758971,9.719829704,14.93371238
12.02228303,11.4727056,17.87731098,16.66448407,9.088919738,23.38890806,15.75856064,13.61990241,13.93813433,6.021221688
15.67543462,19.86751657,19.60408664,18.38860745,20.9975277,10.21906631,11.3353292,14.59551695,19.80354991,24.99183118
15.97899559,10.94670157,13.95760404,18.58660301,10.38565231,14.95619938,7.14455571,11.91859065,16.70838917,23.26014316
17.09595772,9.471091775,23.77174028,20.09617419,15.35688394,10.82128097,14.76162074,28.47777462,10.65921142,9.696883502
12.90657901,6.740493989,21.80583746,12.05574548,6.962348876,9.891841513,19.72274639,9.598800726,12.0477845,11.36627084
19.48953452,16.69819532,18.29394394,9.420550338,22.14634521,21.16728299,12.41536433,13.87019763,19.91550278,23.42216636
22.1718151,14.97048244,18.68789403,8.228041039,22.36234912,16.05661872,15.67722109,23.4835858,23.76053938,16.18968718
18.40613506,5.371333109,22.79357399,17.21112058,18.35615784,13.11685529,12.62079912,14.70768369,9.832449603,31.78864163
13.56289984,8.499007373,14.88086658,12.85196141,15.04217097,21.2902676,18.19707166,13.52014234,25.28057934,17.87735603
16.7636639,9.126491791,11.40309867,15.7505947,23.43011202,22.71541967,13.89632536,16.84628181,24.16840053,6.863197897
18.55045118,12.6961993,13.61994488,13.43729402,13.29882347,11.94190564,10.82953317,17.2644999,22.46141264,15.05727375
9.611268831,10.70824649,22.72110163,14.02072382,9.471978405,11.051723,13.56878133,12.80545009,20.00525481,16.28247807
19.01227007,11.48030931,13.53842361,15.33186365,7.073492514,14.75429602,10.22689529,16.72435469,14.72779179,18.58230031
14.87282583,15.08777358,16.02864593,11.7220349,20.77356473,15.68442944,20.12565286,3.038192093,14.70226777,14.73497958
21.436115,19.20731754,11.10040339,11.4767131,3.030781164,18.93387137,10.77790291,20.09373261,23.80192685,30.36856152
22.64808609,15.34462384,27.506548,20.62973798,11.23149427,20.85630981,22.31985782,18.64540192,11.01983048,11.40376973
14.95143157,15.1945317,30.03769273,15.49189848,9.629389781,23.58148575,21.01401201,8.981350566,14.42417203,17.16414772
23.15973383,15.93662533,16.09446926,15.36661432,19.8983041,8.921970033,16.69247539,11.80845104,15.2139583,12.7304399
13.59003721,13.47345089,23.55962989,19.32455497,9.222724826,14.987661,10.82863768,11.2959276,15.36587924,22.69968576
10.48716152,12.07490992,14.65359801,11.09905213,14.01356284,21.78884815,13.90920768,16.71822416,15.91165302,31.74099325
19.75546987,15.9294522,11.99074834,17.2787288,13.15457882,9.365167252,10.14364722,13.74399845,26.29536876,11.6209411
15.82085986,14.38666431,14.34053689,18.67418074,6.764508496,14.95191158,7.942755203,13.31571325,20.32582636,11.13970112
21.213188,8.42770124,11.8642498,17.8766582,11.09508146,19.66870941,18.75122918,12.68905143,15.53652088,10.17120865
8.292975906,20.84664423,19.37944899,10.70157383,6.719929428,20.80699347,19.77997761,11.43916605,12.5979913,15.87562026
17.21482044,12.59467452,12.54051117,9.908788825,19.20805047,16.42803549,21.93861623,13.23631287,30.16375086,26.23010839
19.70548064,15.5633891,13.36262828,21.73494426,9.486819628,23.06771887,17.45618379,12.90403989,15.52713885,8.859540608
15.78377151,21.17304675,14.13286795,14.97053531,7.206293019,15.53088146,19.94420482,11.45471833,18.39422838,18.46447038
10.13838324,15.11095256,18.74784164,14.04935143,29.23222667,9.597685087,15.25401585,17.5674886,13.94080253,9.635758702
17.90156851,10.65567444,15.42411053,17.84543217,10.81600752,9.357576125,16.33716652,16.09724087,19.18255794,9.835492748
15.88500999,13.38787448,23.64554298,13.6921051,28.30031333,10.97366035,20.93629893,19.77898118,10.47309827,21.90288846
16.92413106,18.76086855,17.26269695,11.36248876,6.99149928,20.9969452,17.29492275,18.56548235,16.67928022,19.76778801
11.33832201,13.19882209,14.67032989,19.72700467,5.570037533,9.671178203,5.408849773,23.92937639,12.6633283,8.58125705
12.63694312,6.556296134,12.31493331,14.92167246,16.27179646,24.41142786,14.76559998,15.8247885,22.56413246,8.98720736
13.72127519,6.845488277,14.28005086,7.808126975,6.758330302,9.650255916,9.561483253,11.62748682,12.97345342,18.21063625
17.3825057,12.6965677,14.18094152,5.828379203,11.1223196,18.36140474,16.37255494,17.16423317,22.49808535,21.94604306
15.72214054,11.46314183,20.73275928,9.491881803,26.44906949,16.29746937,12.70120394,19.81637958,13.13956243,19.96263054
20.2228857,18.9517155,12.73480523,17.95816216,23.94821604,23.48326136,23.54719008,10.85454356,33.64146569,10.4431023
10.09499607,10.29864426,9.675816301,15.41826942,13.1917397,18.39986354,16.33282996,17.93358607,30.07740585,12.16679125
13.57977857,12.93213058,12.07940892,15.65943849,12.73797305,17.35485475,22.29183218,12.96018354,18.39621288,13.14580919
18.29807666,9.26398895,11.14445671,12.42359575,37.57396642,10.88910822,5.45384462,20.55883961,20.38122687,13.20926702
15.96131985,10.97782599,14.39874965,12.34343371,29.44695795,27.19245626,23.49834257,20.52288648,24.09869512,15.51760823
12.20604589,14.69834351,17.22827496,20.29646433,5.483732867,11.69544727,16.86644987,11.44660209,21.08314443,10.15028049
13.13332554,17.50931927,21.43273808,20.69052572,5.125006374,20.11977744,12.98523583,22.17371729,16.97092903,18.72861261
21.95516705,14.33124467,11.74405024,10.60005593,7.254518113,16.17335873,15.89000839,7.670954033,15.9243828,25.91645901
11.15931959,13.45913799,12.06881641,15.00829548,25.3294786,17.10529967,18.07448177,12.65861014,14.93077358,14.03958407
10.73837068,19.45455437,20.32396861,14.91394763,32.73412941,10.31338573,18.842916,21.59991157,25.53795502,5.474119521
9.779382986,16.89898135,19.23263909,5.710681682,12.46337091,23.43217606,16.95427577,18.91721429,13.90735239,26.40040002
15.48731518,9.075085265,14.57858523,15.80712731,17.22184977,15.35200781,20.28426994,14.98146211,15.74319408,13.46176255
12.02418139,21.52840489,16.11780418,15.92450883,9.138325737,14.33337069,10.69596239,9.546535528,14.66598979,13.19883264
14.6289858,16.2219743,15.43624636,15.56488531,10.74720665,13.23321215,15.93016812,10.83505406,18.06452779,15.45786184
10.69844951,13.98700055,12.36719499,25.70806599,21.6250467,14.00275389,12.45722901,26.6584974,10.99424,32.14987617
16.5053805,16.12663743,10.31459836,21.41717815,7.749253133,19.5213258,14.24267862,12.10276779,14.16900124,14.27741566
27.12428704,11.4728695,10.39609388,7.098581893,18.25130897,12.28845052,18.70806805,14.08533826,20.04893925,18.50260905
