S4Yx30-clique-displacement-angstrom,S9Yx15-clique-displacement-angstrom,S12Y3x10-clique-displacement-angstrom,S24Y6x5-clique-displacement-angstrom,S120Y30-clique-displacement-angstrom,Sc_S4Yx30-clique-displacement-angstrom,SSYx50-clique-displacement-angstrom,YSx75-clique-displacement-angstrom,Yx150-clique-displacement-angstrom,YYSx50-clique-displacement-angstrom
17.1580004,13.72296661,14.29917187,25.43004349,20.01349572,16.77515956,35.64168484,7.664522079,19.52838998,22.283406
17.65996633,16.5101432,28.5873634,18.47955803,15.38123873,25.69817821,15.9277728,31.35023487,12.74702164,24.42127928
15.52204811,8.356239722,22.63267994,16.16894474,17.58793191,31.51262899,31.86899885,24.07273232,24.92941614,17.72655814
14.14122076,6.721638335,20.49685812,11.29627957,16.46810231,16.46174379,13.14253345,12.43617084,29.26541679,15.60054241
15.76022507,14.80917155,24.13862354,13.38120061,12.95800377,30.33667775,17.43476802,13.55734956,12.95354265,26.9165398
16.97689341,12.92879986,11.47821655,15.33851395,16.83318317,28.49997538,31.81281454,12.85833055,38.72106557,18.78375571
16.46556034,11.13966458,11.17797936,15.72811871,48.77691797,15.44166172,19.36952199,30.75392285,19.07291005,15.49551867
32.53328736,7.204961834,18.28511306,31.6233751,10.60158111,13.15938762,16.67535475,9.732227995,17.27052577,11.62238591
18.25589211,12.50419073,14.48152102,12.72274216,14.39660072,14.91642353,15.22472611,10.01033586,22.09166802,33.54340519
9.476145505,11.34324689,48.41938889,14.48868453,23.41828221,17.74406638,20.01781142,12.11466699,21.99365178,24.63684574
16.66313852,20.2070563,18.48142213,19.96063013,11.64635626,17.88450665,25.3312167,13.91726094,34.86436893,19.1292121
30.06166939,11.8392787,34.60485933,14.50905415,24.46131958,10.05343981,36.26510066,24.99351936,28.67124849,26.86918405
26.03926848,8.875992215,34.75806312,16.93471694,36.35658744,19.01536105,13.96314288,14.47894511,16.87053424,19.4290954
25.85989285,8.152046016,18.06619991,14.01790294,33.44384945,8.56354148,29.83109447,25.18760083,17.80622588,32.87477904
22.18190387,14.96100948,18.34732945,15.70671049,18.20458991,19.26886178,14.2615345,13.19327108,32.98618486,17.66807964
20.90524825,13.07165066,20.28669939,11.00378349,35.30590515,12.84208427,25.55467791,10.75781895,16.32389598,33.80702809
15.32358424,16.81832155,22.87076641,15.79668414,6.454858958,15.45832151,14.90016989,38.4251428,21.61870162,11.13165667
14.80862856,14.82273603,34.34563689,18.99634858,2.863639087,24.18553122,22.04750904,18.35622299,13.36535499,41.3491064
12.61541702,17.38812715,15.67439346,15.97244628,14.29427547,16.19141435,16.6445506,34.86069225,32.15019046,29.3533815
18.19504092,21.11256461,33.67812367,36.87980051,18.46994373,12.03694516,14.30311724,21.33526813,19.74733336,19.83547981
5.388125892,18.46617889,12.18320742,20.05096,19.03962404,13.47542302,10.33910103,19.42579413,26.75298106,16.4072002
13.18940677,13.0059803,19.33858369,11.90936697,18.29591869,18.5065491,16.44083114,16.7496039,14.08054895,22.60260784
