Variant,Temperature [K],Surface Tension [mN/m],Standard Error [mN/m]
S4Yx30,0.9Tc,0.3553877008090267,0.043466227807341745
S9Yx15,0.9Tc,0.35118492137343277,0.029737765963094583
S12Y3,0.9Tc,0.08543423940615018,0.029218898880218846
Sc_S120Yx30,0.9Tc,0.16096171488172442,0.036821704593985226
SSYx50,0.9Tc,0.5248445593817926,0.05753962614911875
YSx75,0.9Tc,0.6093007766159966,0.06318861951325788
Yx150,0.9Tc,1.0868634001454758,0.09223157021007809
YYS50,0.9Tc,0.8668095764580176,0.08726502337897006
