A1-LCD-clique-displacement-angstrom,FUS-LCD-clique-displacement-angstrom,EWSR1-LCD-clique-displacement-angstrom,TIA1-LCD-clique-displacement-angstrom
40.17038238,31.81127911,26.66048788,27.15869084
35.90676813,34.24039923,14.25000182,18.04011295
25.89314539,43.78854234,16.85916744,33.6914201
20.48969921,26.64276216,22.13103106,54.77432488
35.51082983,26.18620363,16.92136532,27.49805141
26.99464786,44.13976518,20.49124492,27.13943904
35.17045764,29.70774443,16.05944046,72.47932502
13.59635341,7.621643952,63.63339158,40.99847273
21.86846303,40.16415081,44.87441482,32.09962595
28.27756689,25.69933942,20.29338572,30.85200862
34.06082321,29.33505633,32.45979782,31.27253644
35.72483121,38.519628,26.83360925,26.45466677
22.01380206,36.40600284,31.35762978,27.87045722
20.81307154,31.83729516,21.24379631,46.38980049
33.9655626,36.79326577,16.90378047,36.75549283
11.8807531,27.65197828,21.18715602,34.98678359
27.99757981,22.80233436,16.2609208,42.81784202
22.94205582,24.53254248,37.0507933,44.58880166
37.14636718,30.67715567,17.57608114,54.01440649
40.09354152,22.59647371,12.43581558,29.94484062
59.95575126,52.96246109,15.61877224,42.56358454
30.60543433,23.71928861,30.75903879,49.66027376
24.62751314,11.71624587,36.33962364,39.38997442
28.46914,35.82321788,27.95315532,41.12592043
49.02144682,25.10820862,23.08070141,38.58908679
24.66349756,67.12405039,17.94414357,69.77716668
20.90229607,23.28490175,35.43444096,29.27291409
29.07800767,17.56444723,23.55502675,27.55025315
18.55808307,27.5807978,21.21397755,36.83738234
32.48980429,38.51629254,33.58737596,26.64715312
33.57088372,22.20152898,18.33725438,39.26528684
17.11256096,31.30373999,19.24344845,34.69433888
39.06062317,37.23570925,10.74048918,31.19183545
35.28023086,70.59971444,16.00722802,21.43400867
28.75847467,21.48488601,32.61265603,41.74316031
32.73171937,48.3810085,27.71117751,35.02643552
48.6443763,38.52145006,20.41283696,37.56923165
76.34979797,21.26058784,13.82253101,35.81964496
36.11269404,25.64385213,32.10476152,27.22929697
52.65221675,31.44596668,25.83680748,38.42792497
24.7334739,23.60336183,18.08494724,30.38426426
56.6869536,51.78507886,20.12050461,27.02748784
21.68776057,49.0267651,15.72904582,38.91344043
23.55589161,24.15340252,29.68748669,40.57470032
46.87979588,44.5727657,21.6064764,42.83222434
32.33789766,13.91434006,13.25217076,51.33216027
35.90918105,44.5549125,23.0532271,33.8217161
47.76649406,17.52034254,13.20099615,40.63086455
25.43366746,20.72923322,28.71071024,49.01420036
25.24434862,44.75938136,29.50628688,43.91015668
40.18514346,14.06762582,25.91816284,50.234684
32.58240675,47.09788438,10.76126372,41.00685773
24.31511483,28.44579315,21.21395908,33.65270828
38.55311086,39.08462169,29.50673631,29.81165194
37.15444691,31.68028649,27.58576909,40.98076097
14.05230684,37.72503062,12.9722434,27.61767761
34.5939818,19.64034908,32.15560531,37.35205338
47.82302989,32.52099035,15.1250349,33.54646608
40.50664352,21.2732722,32.37214807,32.51960383
25.44278562,33.43646885,28.04340197,37.7667338
54.24187752,48.84973349,22.63509731,63.03596125
60.2808106,52.42312538,14.88981031,48.26233128
27.57105555,20.78827254,30.97382004,60.87168668
26.06836287,29.3075338,14.99998793,37.43235494
38.96876367,36.65792667,23.10064837,18.26698877
24.62741962,24.64237792,14.35019203,41.29689426
32.55194188,19.36330712,15.55289844,15.82982581
25.44139944,35.21761627,18.63665515,31.00806733
16.62962764,29.88821919,29.99598002,52.36225789
24.8102917,79.03671448,19.86337458,70.65777564
17.64539732,24.20320906,24.73926987,45.52073082
27.67450074,30.98008194,23.72076303,32.40178069
15.53340429,27.07007171,24.81182307,33.92395617
24.9883222,27.2933683,12.85513503,29.11366542
31.99045398,38.0609271,9.988320463,36.10899126
19.69773096,33.16163829,24.03978787,24.02550441
26.80356071,25.4798425,24.58664879,48.4381984
32.17819525,22.90564001,26.55887479,23.21250575
32.05866462,41.39748609,14.70313312,62.85814533
46.19375195,17.27702389,20.47877307,48.59964472
43.07192133,20.76591905,18.90426338,21.31606867
41.56173887,23.03053261,12.93914319,34.91820649
25.10343035,32.88574497,17.99929768,29.0542966
28.72973436,42.0420558,28.69762616,45.07229664
23.92353172,34.79676681,8.540101324,36.13907651
34.90665933,28.10567392,36.74555652,30.50268029
15.66394765,35.37991965,17.50591404,93.42208735
21.03267242,48.10687208,31.03602554,35.65283083
10.76150621,19.71752383,24.79056477,42.80286781
23.2199546,28.82022348,21.57444364,42.64690055
